TIMINGTEST
Ryan Hildebrandt Thesis Study
04/08/2019	02:03:02 PM

Participant	Participant	Session	Block	Block	Trial	Trial	Event	Event	Cumulative	Participant			Pressed Or	X	Y	Correct	Error	Reaction	Reaction Time	Font Color	ISI Durations	Screen Location	Screen Location II	Repetitions
Group	Name	ID	Name	No.	Name	No.	Name	No.	Time	Response	Key	Key	Released	Position	Position	Response	Code	Time	(Trial Variable)	(Trial Variable)	(Trial Variable)	(Trial Variable)	(Trial Variable)	(Trial Variable)	Primed/Satiated	Match/Mismatch	Valence	Word Type	Pair Type	Block Valence	Trial Type	Word Pair Valence
PA	TIMINGTEST	TIMINGTEST	Practice	2	PRACTICE P, 3	4	Target PRACTICE 2 (3, stork)	18	7567							(any response)	NR	0							Primed							
PA	TIMINGTEST	TIMINGTEST	Practice	2	PRACTICE P, 3	4	Pair 1 PRACTICE (3, drive)	22	8645							(any response)	NR	0							Primed							
PA	TIMINGTEST	TIMINGTEST	Practice	2	PRACTICE P, 3	4	Pair 2 PRACTICE (3, burger)	25	10646							Match	NR	0							Primed							
PA	TIMINGTEST	TIMINGTEST	Practice	2	PRACTICE P, 1	2	Target PRACTICE 2 (1, cheese)	16	13760							(any response)	NR	0							Primed							
PA	TIMINGTEST	TIMINGTEST	Practice	2	PRACTICE P, 1	2	Pair 1 PRACTICE (1, laugh)	20	14835							(any response)	NR	0							Primed							
PA	TIMINGTEST	TIMINGTEST	Practice	2	PRACTICE P, 1	2	Pair 2 PRACTICE (1, water)	23	16842							Match	NR	0							Primed							
PA	TIMINGTEST	TIMINGTEST	Practice	2	PRACTICE S, 1	5	Target PRACTICE31 (1, bulbs)	143	40674							(any response)	NR	0							Satiated							
PA	TIMINGTEST	TIMINGTEST	Practice	2	PRACTICE S, 1	5	Pair 1 PRACTICE 1 (1, cake)	147	41748							(any response)	NR	0							Satiated							
PA	TIMINGTEST	TIMINGTEST	Practice	2	PRACTICE S, 1	5	Pair 2 PRACTICE 1 (1, decadent)	150	43750							Match	NR	0							Satiated							
PA	TIMINGTEST	TIMINGTEST	Practice	2	PRACTICE P, 2	3	Target PRACTICE 2 (2, book)	17	46860							(any response)	NR	0							Primed							
PA	TIMINGTEST	TIMINGTEST	Practice	2	PRACTICE P, 2	3	Pair 1 PRACTICE (2, evil)	21	47938							(any response)	NR	0							Primed							
PA	TIMINGTEST	TIMINGTEST	Practice	2	PRACTICE P, 2	3	Pair 2 PRACTICE (2, disaster)	24	49939							Match	NR	0							Primed							
PA	TIMINGTEST	TIMINGTEST	Practice	2	PRACTICE S, 3	7	Target PRACTICE31 (3, drag)	145	73776							(any response)	NR	0							Satiated							
PA	TIMINGTEST	TIMINGTEST	Practice	2	PRACTICE S, 3	7	Pair 1 PRACTICE 1 (3, attack)	149	74852							(any response)	NR	0							Satiated							
PA	TIMINGTEST	TIMINGTEST	Practice	2	PRACTICE S, 3	7	Pair 2 PRACTICE 1 (3, butter)	152	76854							Mismatch	NR	0							Satiated							
PA	TIMINGTEST	TIMINGTEST	Practice	2	PRACTICE S, 2	6	Target PRACTICE31 (2, shirt)	144	100686							(any response)	NR	0							Satiated							
