na0416
Ryan Hildebrandt Thesis Study Final
04/16/2019	01:53:45 PM

Participant	Participant	Session	Block	Block	Trial	Trial	Event	Event	Cumulative	Participant			Pressed Or	X	Y	Correct	Error	Reaction	Reaction Time	Font Color	ISI Durations	Screen Location	Screen Location II	Repetitions
Group	Name	ID	Name	No.	Name	No.	Name	No.	Time	Response	Key	Key	Released	Position	Position	Response	Code	Time	(Trial Variable)	(Trial Variable)	(Trial Variable)	(Trial Variable)	(Trial Variable)	(Trial Variable)	Primed/Satiated	Match/Mismatch	Valence	Word Type	Pair Type	Block Valence	Trial Type	Word Pair Valence
NA	na0416	na0416	Practice	2	PRACTICE P, 2	3	Target PRACTICE 2 (2, book)	17	338253							(any response)	NR	0							Primed							
NA	na0416	na0416	Practice	2	PRACTICE P, 2	3	Pair 1 PRACTICE (2, evil)	21	339332							(any response)	NR	0							Primed							
NA	na0416	na0416	Practice	2	PRACTICE P, 2	3	Pair 2 PRACTICE (2, disaster)	24	342334							Match	NR	0							Primed							
NA	na0416	na0416	Practice	2	PRACTICE S, 2	6	Target PRACTICE31 (2, shirt)	144	366172							(any response)	NR	0							Satiated							
NA	na0416	na0416	Practice	2	PRACTICE S, 2	6	Pair 1 PRACTICE 1 (2, golfer)	148	367246							(any response)	NR	0							Satiated							
NA	na0416	na0416	Practice	2	PRACTICE S, 2	6	Pair 2 PRACTICE 1 (2, moose)	151	370125	Mismatch	/					Match	E	2873							Satiated							
NA	na0416	na0416	Practice	2	PRACTICE P, 3	4	Target PRACTICE 2 (3, stork)	18	373231							(any response)	NR	0							Primed							
NA	na0416	na0416	Practice	2	PRACTICE P, 3	4	Pair 1 PRACTICE (3, drive)	22	374304							(any response)	NR	0							Primed							
NA	na0416	na0416	Practice	2	PRACTICE P, 3	4	Pair 2 PRACTICE (3, burger)	25	376268	Mismatch	/					Match	E	1963							Primed							
NA	na0416	na0416	Practice	2	PRACTICE P, 1	2	Target PRACTICE 2 (1, cheese)	16	379369							(any response)	NR	0							Primed							
NA	na0416	na0416	Practice	2	PRACTICE P, 1	2	Pair 1 PRACTICE (1, laugh)	20	380444							(any response)	NR	0							Primed							
NA	na0416	na0416	Practice	2	PRACTICE P, 1	2	Pair 2 PRACTICE (1, water)	23	381826	Mismatch	/					Match	E	1377							Primed							
NA	na0416	na0416	Practice	2	PRACTICE S, 1	5	Target PRACTICE31 (1, bulbs)	143	405667							(any response)	NR	0							Satiated							
NA	na0416	na0416	Practice	2	PRACTICE S, 1	5	Pair 1 PRACTICE 1 (1, cake)	147	406740							(any response)	NR	0							Satiated							
NA	na0416	na0416	Practice	2	PRACTICE S, 1	5	Pair 2 PRACTICE 1 (1, overjoyed)	150	408456	Mismatch	/					Match	E	1715							Satiated							
NA	na0416	na0416	Practice	2	PRACTICE S, 3	7	Target PRACTICE31 (3, drag)	145	432291							(any response)	NR	0							Satiated							
NA	na0416	na0416	Practice	2	PRACTICE S, 3	7	Pair 1 PRACTICE 1 (3, attack)	149	433369							(any response)	NR	0							Satiated							
NA	na0416	na0416	Practice	2	PRACTICE S, 3	7	Pair 2 PRACTICE 1 (3, butter)	152	434804	Mismatch	/					Mismatch	C	1433							Satiated							
NA	na0416	na0416	Start Screen 1	3	Start Screen	8	Start Screen	153	464416	Mismatch	/					Match; Mismatch	C	29572														
NA	na0416	na0416	Neutral	4	Neutral Satiation Mismatch, 5	28	Target NEU.S.MM 5 (5, tease)	582	488235							(any response)	NR	0							Satiated	Mismatch	Neutral	Neutral	Neutral	Neutral	Satiation	Mismatch
NA	na0416	na0416	Neutral	4	Neutral Satiation Mismatch, 5	28	Pair 1 NEU.S.MM 4 (5, hotel)	588	489315							(any response)	NR	0							Satiated	Mismatch	Neutral (trial)	Neutral (trial)	Neutral	Neutral	Satiation (trial)	Mismatch (trial)
NA	na0416	na0416	Neutral	4	Neutral Satiation Mismatch, 5	28	Pair 2 NEU.S.MM 4 (5, circus)	593	490832	Mismatch	/					Mismatch	C	1512							Satiated	Mismatch	Neutral (trial)	Neutral (trial)	Neutral	Neutral	Satiation (trial)	Mismatch (trial)
NA	na0416	na0416	Neutral	4	Neutral Prime Mismatch, 2	15	Target NEU.P.MM 3 (2, obscene)	197	493941							(any response)	NR	0							Primed	Mismatch	Neutral	Neutral	Neutral	Neutral	Prime	Mismatch
NA	na0416	na0416	Neutral	4	Neutral Prime Mismatch, 2	15	Pair 1 NEU.P.MM 2 (2, mystic)	203	495021							(any response)	NR	0							Primed	Mismatch	Neutral (trial)	Neutral (trial)	Neutral	Neutral	Prime (trial)	Mismatch (trial)
NA	na0416	na0416	Neutral	4	Neutral Prime Mismatch, 2	15	Pair 2 NEU.P.MM 2 (2, diamond)	208	496829	Match	z					Mismatch	E	1803							Primed	Mismatch	Neutral (trial)	Neutral (trial)	Neutral	Neutral	Prime (trial)	Mismatch (trial)
NA	na0416	na0416	Neutral	4	Neutral Prime Mismatch, 5	18	Target NEU.P.MM 3 (5, lion)	200	499932							(any response)	NR	0							Primed	Mismatch	Neutral	Neutral	Neutral	Neutral	Prime	Mismatch
NA	na0416	na0416	Neutral	4	Neutral Prime Mismatch, 5	18	Pair 1 NEU.P.MM 2 (5, bride)	206	501010							(any response)	NR	0							Primed	Mismatch	Neutral (trial)	Neutral (trial)	Neutral	Neutral	Prime (trial)	Mismatch (trial)
NA	na0416	na0416	Neutral	4	Neutral Prime Mismatch, 5	18	Pair 2 NEU.P.MM 2 (5, unhappy)	211	502612	Mismatch	/					Mismatch	C	1601							Primed	Mismatch	Neutral (trial)	Neutral (trial)	Neutral	Neutral	Prime (trial)	Mismatch (trial)
NA	na0416	na0416	Neutral	4	Neutral Prime Match, 4	12	Target NEU.P.M 2 (4, vanity)	170	505721							(any response)	NR	0							Primed	Match	Neutral	Neutral	Neutral	Neutral	Prime	Match
NA	na0416	na0416	Neutral	4	Neutral Prime Match, 4	12	Pair 1 NEU.P.M 1 (4, alone)	176	506800							(any response)	NR	0							Primed	Match	Neutral (trial)	Neutral (trial)	Neutral	Neutral	Prime (trial)	Match (trial)
NA	na0416	na0416	Neutral	4	Neutral Prime Match, 4	12	Pair 2 NEU.P.M 1 (4, horror)	181	508293	Match	z					Match	C	1492							Primed	Match	Neutral (trial)	Neutral (trial)	Neutral	Neutral	Prime (trial)	Match (trial)
NA	na0416	na0416	Neutral	4	Neutral Satiation Mismatch, 3	26	Target NEU.S.MM 5 (3, cold)	580	532119							(any response)	NR	0							Satiated	Mismatch	Neutral	Neutral	Neutral	Neutral	Satiation	Mismatch
NA	na0416	na0416	Neutral	4	Neutral Satiation Mismatch, 3	26	Pair 1 NEU.S.MM 4 (3, storm)	586	533196							(any response)	NR	0							Satiated	Mismatch	Neutral (trial)	Neutral (trial)	Neutral	Neutral	Satiation (trial)	Mismatch (trial)
NA	na0416	na0416	Neutral	4	Neutral Satiation Mismatch, 3	26	Pair 2 NEU.S.MM 4 (3, luxury)	591	535632	Mismatch	/					Mismatch	C	2430							Satiated	Mismatch	Neutral (trial)	Neutral (trial)	Neutral	Neutral	Satiation (trial)	Mismatch (trial)
NA	na0416	na0416	Neutral	4	Neutral Prime Match, 5	13	Target NEU.P.M 2 (5, revolt)	171	538741							(any response)	NR	0							Primed	Match	Neutral	Neutral	Neutral	Neutral	Prime	Match
NA	na0416	na0416	Neutral	4	Neutral Prime Match, 5	13	Pair 1 NEU.P.M 1 (5, aroused)	177	539820							(any response)	NR	0							Primed	Match	Neutral (trial)	Neutral (trial)	Neutral	Neutral	Prime (trial)	Match (trial)
NA	na0416	na0416	Neutral	4	Neutral Prime Match, 5	13	Pair 2 NEU.P.M 1 (5, wealthy)	182	541438	Mismatch	/					Match	E	1613							Primed	Match	Neutral (trial)	Neutral (trial)	Neutral	Neutral	Prime (trial)	Match (trial)
NA	na0416	na0416	Neutral	4	Neutral Prime Match, 2	10	Target NEU.P.M 2 (2, alley)	168	544547							(any response)	NR	0							Primed	Match	Neutral	Neutral	Neutral	Neutral	Prime	Match
NA	na0416	na0416	Neutral	4	Neutral Prime Match, 2	10	Pair 1 NEU.P.M 1 (2, swamp)	174	545626							(any response)	NR	0							Primed	Match	Neutral (trial)	Neutral (trial)	Neutral	Neutral	Prime (trial)	Match (trial)
NA	na0416	na0416	Neutral	4	Neutral Prime Match, 2	10	Pair 2 NEU.P.M 1 (2, rancid)	179	546871	Match	z					Match	C	1240							Primed	Match	Neutral (trial)	Neutral (trial)	Neutral	Neutral	Prime (trial)	Match (trial)
NA	na0416	na0416	Neutral	4	Neutral Satiation Match, 2	20	Target NEU.S.M 4 (2, rough)	388	570714							(any response)	NR	0							Satiated	Match	Neutral	Neutral	Neutral	Neutral	Satiation	Match
NA	na0416	na0416	Neutral	4	Neutral Satiation Match, 2	20	Pair 1 NEU.S.M 3 (2, kiss)	394	571788							(any response)	NR	0							Satiated	Match	Neutral (trial)	Neutral (trial)	Neutral	Neutral	Satiation (trial)	Match (trial)
NA	na0416	na0416	Neutral	4	Neutral Satiation Match, 2	20	Pair 2 NEU.S.M 3 (2, pride)	399	573850	Match	z					Match	C	2056							Satiated	Match	Neutral (trial)	Neutral (trial)	Neutral	Neutral	Satiation (trial)	Match (trial)
NA	na0416	na0416	Neutral	4	Neutral Satiation Match, 3	21	Target NEU.S.M 4 (3, reptile)	389	597690							(any response)	NR	0							Satiated	Match	Neutral	Neutral	Neutral	Neutral	Satiation	Match
NA	na0416	na0416	Neutral	4	Neutral Satiation Match, 3	21	Pair 1 NEU.S.M 3 (3, cake)	395	598768							(any response)	NR	0							Satiated	Match	Neutral (trial)	Neutral (trial)	Neutral	Neutral	Satiation (trial)	Match (trial)
NA	na0416	na0416	Neutral	4	Neutral Satiation Match, 3	21	Pair 2 NEU.S.M 3 (3, cute)	400	600154	Mismatch	/					Match	E	1380							Satiated	Match	Neutral (trial)	Neutral (trial)	Neutral	Neutral	Satiation (trial)	Match (trial)
NA	na0416	na0416	Neutral	4	Neutral Satiation Mismatch, 4	27	Target NEU.S.MM 5 (4, lump)	581	623986							(any response)	NR	0							Satiated	Mismatch	Neutral	Neutral	Neutral	Neutral	Satiation	Mismatch
NA	na0416	na0416	Neutral	4	Neutral Satiation Mismatch, 4	27	Pair 1 NEU.S.MM 4 (4, snuggle)	587	625064							(any response)	NR	0							Satiated	Mismatch	Neutral (trial)	Neutral (trial)	Neutral	Neutral	Satiation (trial)	Mismatch (trial)
NA	na0416	na0416	Neutral	4	Neutral Satiation Mismatch, 4	27	Pair 2 NEU.S.MM 4 (4, coffin)	592	626795	Mismatch	/					Mismatch	C	1725							Satiated	Mismatch	Neutral (trial)	Neutral (trial)	Neutral	Neutral	Satiation (trial)	Mismatch (trial)
NA	na0416	na0416	Neutral	4	Neutral Prime Mismatch, 4	17	Target NEU.P.MM 3 (4, hard)	199	629892							(any response)	NR	0							Primed	Mismatch	Neutral	Neutral	Neutral	Neutral	Prime	Mismatch
NA	na0416	na0416	Neutral	4	Neutral Prime Mismatch, 4	17	Pair 1 NEU.P.MM 2 (4, puppy)	205	630970							(any response)	NR	0							Primed	Mismatch	Neutral (trial)	Neutral (trial)	Neutral	Neutral	Prime (trial)	Mismatch (trial)
NA	na0416	na0416	Neutral	4	Neutral Prime Mismatch, 4	17	Pair 2 NEU.P.MM 2 (4, abuse)	210	632634	Mismatch	/					Mismatch	C	1663							Primed	Mismatch	Neutral (trial)	Neutral (trial)	Neutral	Neutral	Prime (trial)	Mismatch (trial)
