na1022
Ryan Hildebrandt Thesis Study Final
10/22/2019	10:45:32 AM

Participant	Participant	Session	Block	Block	Trial	Trial	Event	Event	Cumulative	Participant			Pressed Or	X	Y	Correct	Error	Reaction	Reaction Time	Font Color	ISI Durations	Screen Location	Screen Location II	Repetitions
Group	Name	ID	Name	No.	Name	No.	Name	No.	Time	Response	Key	Key	Released	Position	Position	Response	Code	Time	(Trial Variable)	(Trial Variable)	(Trial Variable)	(Trial Variable)	(Trial Variable)	(Trial Variable)	Primed/Satiated	Match/Mismatch	Valence	Word Type	Pair Type	Block Valence	Trial Type	Word Pair Valence
NA	na1022	na1022	Practice	2	PRACTICE P, 1	2	Target PRACTICE 2 (1, cheese)	16	105152							(any response)	NR	0							Primed							
NA	na1022	na1022	Practice	2	PRACTICE P, 1	2	Pair 1 PRACTICE (1, laugh)	20	106227							(any response)	NR	0							Primed							
NA	na1022	na1022	Practice	2	PRACTICE P, 1	2	Pair 2 PRACTICE (1, water)	23	108928	Mismatch	/					Match	E	2700							Primed							
NA	na1022	na1022	Practice	2	PRACTICE S, 1	5	Target PRACTICE31 (1, bulbs)	143	132763							(any response)	NR	0							Satiated							
NA	na1022	na1022	Practice	2	PRACTICE S, 1	5	Pair 1 PRACTICE 1 (1, cake)	147	133840							(any response)	NR	0							Satiated							
NA	na1022	na1022	Practice	2	PRACTICE S, 1	5	Pair 2 PRACTICE 1 (1, overjoyed)	150	135861	Mismatch	/					Match	E	2020							Satiated							
NA	na1022	na1022	Practice	2	PRACTICE P, 2	3	Target PRACTICE 2 (2, book)	17	138968							(any response)	NR	0							Primed							
NA	na1022	na1022	Practice	2	PRACTICE P, 2	3	Pair 1 PRACTICE (2, evil)	21	140047							(any response)	NR	0							Primed							
NA	na1022	na1022	Practice	2	PRACTICE P, 2	3	Pair 2 PRACTICE (2, disaster)	24	141903	Match	z					Match	C	1855							Primed							
NA	na1022	na1022	Practice	2	PRACTICE S, 2	6	Target PRACTICE31 (2, shirt)	144	165733							(any response)	NR	0							Satiated							
