nb0905
Ryan Hildebrandt Thesis Study Final
09/05/2019	09:50:35 AM

Participant	Participant	Session	Block	Block	Trial	Trial	Event	Event	Cumulative	Participant			Pressed Or	X	Y	Correct	Error	Reaction	Reaction Time	Font Color	ISI Durations	Screen Location	Screen Location II	Repetitions
Group	Name	ID	Name	No.	Name	No.	Name	No.	Time	Response	Key	Key	Released	Position	Position	Response	Code	Time	(Trial Variable)	(Trial Variable)	(Trial Variable)	(Trial Variable)	(Trial Variable)	(Trial Variable)	Primed/Satiated	Match/Mismatch	Valence	Word Type	Pair Type	Block Valence	Trial Type	Word Pair Valence
NB	nb0905	nb0905	Practice	2	PRACTICE S, 3	7	Target PRACTICE31 (3, drag)	145	232426							(any response)	NR	0							Satiated							
NB	nb0905	nb0905	Practice	2	PRACTICE S, 3	7	Pair 1 PRACTICE 1 (3, attack)	149	233505							(any response)	NR	0							Satiated							
NB	nb0905	nb0905	Practice	2	PRACTICE S, 3	7	Pair 2 PRACTICE 1 (3, butter)	152	235035	Mismatch	/					Mismatch	C	1529							Satiated							
NB	nb0905	nb0905	Practice	2	PRACTICE S, 1	5	Target PRACTICE31 (1, bulbs)	143	258872							(any response)	NR	0							Satiated							
NB	nb0905	nb0905	Practice	2	PRACTICE S, 1	5	Pair 1 PRACTICE 1 (1, cake)	147	259950							(any response)	NR	0							Satiated							
NB	nb0905	nb0905	Practice	2	PRACTICE S, 1	5	Pair 2 PRACTICE 1 (1, overjoyed)	150	260844	Match	z					Match	C	893							Satiated							
NB	nb0905	nb0905	Practice	2	PRACTICE S, 2	6	Target PRACTICE31 (2, shirt)	144	284671							(any response)	NR	0							Satiated							
NB	nb0905	nb0905	Practice	2	PRACTICE S, 2	6	Pair 1 PRACTICE 1 (2, golfer)	148	285746							(any response)	NR	0							Satiated							
NB	nb0905	nb0905	Practice	2	PRACTICE S, 2	6	Pair 2 PRACTICE 1 (2, moose)	151	287418	Mismatch	/					Match	E	1671							Satiated							
NB	nb0905	nb0905	Practice	2	PRACTICE P, 2	3	Target PRACTICE 2 (2, book)	17	290527							(any response)	NR	0							Primed							
NB	nb0905	nb0905	Practice	2	PRACTICE P, 2	3	Pair 1 PRACTICE (2, evil)	21	291602							(any response)	NR	0							Primed							
NB	nb0905	nb0905	Practice	2	PRACTICE P, 2	3	Pair 2 PRACTICE (2, disaster)	24	292447	Match	z					Match	C	844							Primed							
NB	nb0905	nb0905	Practice	2	PRACTICE P, 3	4	Target PRACTICE 2 (3, stork)	18	295551							(any response)	NR	0							Primed							
NB	nb0905	nb0905	Practice	2	PRACTICE P, 3	4	Pair 1 PRACTICE (3, drive)	22	296624							(any response)	NR	0							Primed							
NB	nb0905	nb0905	Practice	2	PRACTICE P, 3	4	Pair 2 PRACTICE (3, burger)	25	297780	Mismatch	/					Match	E	1155							Primed							
NB	nb0905	nb0905	Practice	2	PRACTICE P, 1	2	Target PRACTICE 2 (1, cheese)	16	300889							(any response)	NR	0							Primed							
NB	nb0905	nb0905	Practice	2	PRACTICE P, 1	2	Pair 1 PRACTICE (1, laugh)	20	301964							(any response)	NR	0							Primed							
NB	nb0905	nb0905	Practice	2	PRACTICE P, 1	2	Pair 2 PRACTICE (1, water)	23	303078	Match	z					Match	C	1109							Primed							
NB	nb0905	nb0905	Start Screen 1	3	Start Screen	8	Start Screen	153	328707	Match	z					Match; Mismatch	C	25586														
NB	nb0905	nb0905	Neutral	4	Neutral Prime Mismatch, 4	17	Target NEU.P.MM 3 (4, hard)	199	331802							(any response)	NR	0							Primed	Mismatch	Neutral	Neutral	Neutral	Neutral	Prime	Mismatch
NB	nb0905	nb0905	Neutral	4	Neutral Prime Mismatch, 4	17	Pair 1 NEU.P.MM 2 (4, puppy)	205	332882							(any response)	NR	0							Primed	Mismatch	Neutral (trial)	Neutral (trial)	Neutral	Neutral	Prime (trial)	Mismatch (trial)
NB	nb0905	nb0905	Neutral	4	Neutral Prime Mismatch, 4	17	Pair 2 NEU.P.MM 2 (4, abuse)	210	333905	Mismatch	/					Mismatch	C	1022							Primed	Mismatch	Neutral (trial)	Neutral (trial)	Neutral	Neutral	Prime (trial)	Mismatch (trial)
NB	nb0905	nb0905	Neutral	4	Neutral Prime Mismatch, 2	15	Target NEU.P.MM 3 (2, obscene)	197	337012							(any response)	NR	0							Primed	Mismatch	Neutral	Neutral	Neutral	Neutral	Prime	Mismatch
NB	nb0905	nb0905	Neutral	4	Neutral Prime Mismatch, 2	15	Pair 1 NEU.P.MM 2 (2, mystic)	203	338087							(any response)	NR	0							Primed	Mismatch	Neutral (trial)	Neutral (trial)	Neutral	Neutral	Prime (trial)	Mismatch (trial)
