pilota1017
Ryan Hildebrandt Thesis Study Final
10/17/2019	02:27:44 PM

Participant	Participant	Session	Block	Block	Trial	Trial	Event	Event	Cumulative	Participant			Pressed Or	X	Y	Correct	Error	Reaction	Reaction Time	Font Color	ISI Durations	Screen Location	Screen Location II	Repetitions
Group	Name	ID	Name	No.	Name	No.	Name	No.	Time	Response	Key	Key	Released	Position	Position	Response	Code	Time	(Trial Variable)	(Trial Variable)	(Trial Variable)	(Trial Variable)	(Trial Variable)	(Trial Variable)	Primed/Satiated	Match/Mismatch	Valence	Word Type	Pair Type	Block Valence	Trial Type	Word Pair Valence
NB	pilota1017	pilota1017	Practice	2	PRACTICE P, 1	2	Target PRACTICE 2 (1, cheese)	16	291952							(any response)	NR	0							Primed							
NB	pilota1017	pilota1017	Practice	2	PRACTICE P, 1	2	Pair 1 PRACTICE (1, laugh)	20	293030							(any response)	NR	0							Primed							
NB	pilota1017	pilota1017	Practice	2	PRACTICE P, 1	2	Pair 2 PRACTICE (1, water)	23	295349	Match	z					Match	C	2319							Primed							
NB	pilota1017	pilota1017	Practice	2	PRACTICE S, 3	7	Target PRACTICE31 (3, drag)	145	319187							(any response)	NR	0							Satiated							
NB	pilota1017	pilota1017	Practice	2	PRACTICE S, 3	7	Pair 1 PRACTICE 1 (3, attack)	149	320260							(any response)	NR	0							Satiated							
NB	pilota1017	pilota1017	Practice	2	PRACTICE S, 3	7	Pair 2 PRACTICE 1 (3, butter)	152	322373	Mismatch	/					Mismatch	C	2108							Satiated							
NB	pilota1017	pilota1017	Practice	2	PRACTICE S, 2	6	Target PRACTICE31 (2, shirt)	144	346194							(any response)	NR	0							Satiated							
NB	pilota1017	pilota1017	Practice	2	PRACTICE S, 2	6	Pair 1 PRACTICE 1 (2, golfer)	148	347273							(any response)	NR	0							Satiated							
NB	pilota1017	pilota1017	Practice	2	PRACTICE S, 2	6	Pair 2 PRACTICE 1 (2, moose)	151	349644	Mismatch	/					Match	E	2365							Satiated							
NB	pilota1017	pilota1017	Practice	2	PRACTICE S, 1	5	Target PRACTICE31 (1, bulbs)	143	373474							(any response)	NR	0							Satiated							
