nb1030
Ryan Hildebrandt Thesis Study Final
10/29/2019	02:22:30 PM

Participant	Participant	Session	Block	Block	Trial	Trial	Event	Event	Cumulative	Participant			Pressed Or	X	Y	Correct	Error	Reaction	Reaction Time	Font Color	ISI Durations	Screen Location	Screen Location II	Repetitions
Group	Name	ID	Name	No.	Name	No.	Name	No.	Time	Response	Key	Key	Released	Position	Position	Response	Code	Time	(Trial Variable)	(Trial Variable)	(Trial Variable)	(Trial Variable)	(Trial Variable)	(Trial Variable)	Primed/Satiated	Match/Mismatch	Valence	Word Type	Pair Type	Block Valence	Trial Type	Word Pair Valence
NB	nb1030	nb1030	Practice	2	PRACTICE P, 1	2	Target PRACTICE 2 (1, cheese)	16	243187							(any response)	NR	0							Primed							
NB	nb1030	nb1030	Practice	2	PRACTICE P, 1	2	Pair 1 PRACTICE (1, laugh)	20	244262							(any response)	NR	0							Primed							
NB	nb1030	nb1030	Practice	2	PRACTICE P, 1	2	Pair 2 PRACTICE (1, water)	23	247269							Match	NR	0							Primed							
NB	nb1030	nb1030	Practice	2	PRACTICE S, 2	6	Target PRACTICE31 (2, shirt)	144	271098							(any response)	NR	0							Satiated							
NB	nb1030	nb1030	Practice	2	PRACTICE S, 2	6	Pair 1 PRACTICE 1 (2, golfer)	148	272177							(any response)	NR	0							Satiated							
NB	nb1030	nb1030	Practice	2	PRACTICE S, 2	6	Pair 2 PRACTICE 1 (2, moose)	151	275183							Match	NR	0							Satiated							
NB	nb1030	nb1030	Practice	2	PRACTICE S, 1	5	Target PRACTICE31 (1, bulbs)	143	299013							(any response)	NR	0							Satiated							
NB	nb1030	nb1030	Practice	2	PRACTICE S, 1	5	Pair 1 PRACTICE 1 (1, cake)	147	300091							(any response)	NR	0							Satiated							
NB	nb1030	nb1030	Practice	2	PRACTICE S, 1	5	Pair 2 PRACTICE 1 (1, overjoyed)	150	303091							Match	NR	0							Satiated							
NB	nb1030	nb1030	Practice	2	PRACTICE P, 2	3	Target PRACTICE 2 (2, book)	17	306204							(any response)	NR	0							Primed							
NB	nb1030	nb1030	Practice	2	PRACTICE P, 2	3	Pair 1 PRACTICE (2, evil)	21	307282							(any response)	NR	0							Primed							
NB	nb1030	nb1030	Practice	2	PRACTICE P, 2	3	Pair 2 PRACTICE (2, disaster)	24	308656	Match	z					Match	C	1373							Primed							
NB	nb1030	nb1030	Practice	2	PRACTICE S, 3	7	Target PRACTICE31 (3, drag)	145	332483							(any response)	NR	0							Satiated							
NB	nb1030	nb1030	Practice	2	PRACTICE S, 3	7	Pair 1 PRACTICE 1 (3, attack)	149	333562							(any response)	NR	0							Satiated							
NB	nb1030	nb1030	Practice	2	PRACTICE S, 3	7	Pair 2 PRACTICE 1 (3, butter)	152	334522	Mismatch	/					Mismatch	C	959							Satiated							
NB	nb1030	nb1030	Practice	2	PRACTICE P, 3	4	Target PRACTICE 2 (3, stork)	18	337621							(any response)	NR	0							Primed							
NB	nb1030	nb1030	Practice	2	PRACTICE P, 3	4	Pair 1 PRACTICE (3, drive)	22	338700							(any response)	NR	0							Primed							
NB	nb1030	nb1030	Practice	2	PRACTICE P, 3	4	Pair 2 PRACTICE (3, burger)	25	339949	Mismatch	/					Match	E	1249							Primed							
NB	nb1030	nb1030	Start Screen 1	3	Start Screen	8	Start Screen	153	365011	Mismatch	/					Match; Mismatch	C	25020														
NB	nb1030	nb1030	Neutral	4	Neutral Satiation Match, 5	23	Target NEU.S.M 4 (5, dentist)	391	388827							(any response)	NR	0							Satiated	Match	Neutral	Neutral	Neutral	Neutral	Satiation	Match
NB	nb1030	nb1030	Neutral	4	Neutral Satiation Match, 5	23	Pair 1 NEU.S.M 3 (5, victim)	397	389906							(any response)	NR	0							Satiated	Match	Neutral (trial)	Neutral (trial)	Neutral	Neutral	Satiation (trial)	Match (trial)
NB	nb1030	nb1030	Neutral	4	Neutral Satiation Match, 5	23	Pair 2 NEU.S.M 3 (5, rude)	402	390954	Match	z					Match	C	1042							Satiated	Match	Neutral (trial)	Neutral (trial)	Neutral	Neutral	Satiation (trial)	Match (trial)
NB	nb1030	nb1030	Neutral	4	Neutral Prime Mismatch, 3	16	Target NEU.P.MM 3 (3, hide)	198	394049							(any response)	NR	0							Primed	Mismatch	Neutral	Neutral	Neutral	Neutral	Prime	Mismatch
NB	nb1030	nb1030	Neutral	4	Neutral Prime Mismatch, 3	16	Pair 1 NEU.P.MM 2 (3, injury)	204	395129							(any response)	NR	0							Primed	Mismatch	Neutral (trial)	Neutral (trial)	Neutral	Neutral	Prime (trial)	Mismatch (trial)
NB	nb1030	nb1030	Neutral	4	Neutral Prime Mismatch, 3	16	Pair 2 NEU.P.MM 2 (3, beast)	209	396096	Mismatch	/					Mismatch	C	966							Primed	Mismatch	Neutral (trial)	Neutral (trial)	Neutral	Neutral	Prime (trial)	Mismatch (trial)
NB	nb1030	nb1030	Neutral	4	Neutral Satiation Mismatch, 3	26	Target NEU.S.MM 5 (3, cold)	580	419929							(any response)	NR	0							Satiated	Mismatch	Neutral	Neutral	Neutral	Neutral	Satiation	Mismatch
NB	nb1030	nb1030	Neutral	4	Neutral Satiation Mismatch, 3	26	Pair 1 NEU.S.MM 4 (3, storm)	586	421007							(any response)	NR	0							Satiated	Mismatch	Neutral (trial)	Neutral (trial)	Neutral	Neutral	Satiation (trial)	Mismatch (trial)
