ntest
Ryan Hildebrandt Thesis Study Final
04/11/2019	02:19:52 PM

Participant	Participant	Session	Block	Block	Trial	Trial	Event	Event	Cumulative	Participant			Pressed Or	X	Y	Correct	Error	Reaction	Reaction Time	Font Color	ISI Durations	Screen Location	Screen Location II	Repetitions
Group	Name	ID	Name	No.	Name	No.	Name	No.	Time	Response	Key	Key	Released	Position	Position	Response	Code	Time	(Trial Variable)	(Trial Variable)	(Trial Variable)	(Trial Variable)	(Trial Variable)	(Trial Variable)	Primed/Satiated	Match/Mismatch	Valence	Word Type	Pair Type	Block Valence	Trial Type	Word Pair Valence
NA	ntest	ntest	Practice	2	PRACTICE P, 3	4	Target PRACTICE 2 (3, stork)	18	5887							(any response)	NR	0							Primed							
NA	ntest	ntest	Practice	2	PRACTICE P, 3	4	Pair 1 PRACTICE (3, drive)	22	6961							(any response)	NR	0							Primed							
NA	ntest	ntest	Practice	2	PRACTICE P, 3	4	Pair 2 PRACTICE (3, burger)	25	9963							Match	NR	0							Primed							
NA	ntest	ntest	Practice	2	PRACTICE P, 1	2	Target PRACTICE 2 (1, cheese)	16	13077							(any response)	NR	0							Primed							
NA	ntest	ntest	Practice	2	PRACTICE P, 1	2	Pair 1 PRACTICE (1, laugh)	20	14152							(any response)	NR	0							Primed							
NA	ntest	ntest	Practice	2	PRACTICE P, 1	2	Pair 2 PRACTICE (1, water)	23	17154							Match	NR	0							Primed							
NA	ntest	ntest	Practice	2	PRACTICE S, 3	7	Target PRACTICE31 (3, drag)	145	40992							(any response)	NR	0							Satiated							
NA	ntest	ntest	Practice	2	PRACTICE S, 3	7	Pair 1 PRACTICE 1 (3, attack)	149	42066							(any response)	NR	0							Satiated							
NA	ntest	ntest	Practice	2	PRACTICE S, 3	7	Pair 2 PRACTICE 1 (3, butter)	152	45069							Mismatch	NR	0							Satiated							
NA	ntest	ntest	Practice	2	PRACTICE P, 2	3	Target PRACTICE 2 (2, book)	17	48179							(any response)	NR	0							Primed							
