pa0329
Ryan Hildebrandt Thesis Study
03/29/2019	01:50:55 PM

Participant	Participant	Session	Block	Block	Trial	Trial	Event	Event	Participant			Pressed Or	X	Y	Correct	Error	Reaction	Reaction Time	Font Color	ISI Durations	Screen Location	Screen Location II	Repetitions
Group	Name	ID	Name	No.	Name	No.	Name	No.	Response	Key	Key	Released	Position	Position	Response	Code	Time	(Trial Variable)	(Trial Variable)	(Trial Variable)	(Trial Variable)	(Trial Variable)	(Trial Variable)	Primed/Satiated	Match/Mismatch	Valence	Word Type	Pair Type	Block Valence	Trial Type	Word Pair Valence
PA	pa0329	pa0329	Practice	2	PRACTICE P, 2	3	Target PRACTICE 2 (2, book)	17							(any response)	NR	0							Primed							
PA	pa0329	pa0329	Practice	2	PRACTICE P, 2	3	Pair 1 PRACTICE (2, evil)	21							(any response)	NR	0							Primed							
PA	pa0329	pa0329	Practice	2	PRACTICE P, 2	3	Pair 2 PRACTICE (2, disaster)	24	Match	z					Match	C	6006							Primed							
PA	pa0329	pa0329	Practice	2	PRACTICE P, 3	4	Target PRACTICE 2 (3, stork)	18							(any response)	NR	0							Primed							
PA	pa0329	pa0329	Practice	2	PRACTICE P, 3	4	Pair 1 PRACTICE (3, drive)	22							(any response)	NR	0							Primed							
PA	pa0329	pa0329	Practice	2	PRACTICE P, 3	4	Pair 2 PRACTICE (3, burger)	25							Match	NR	0							Primed							
PA	pa0329	pa0329	Practice	2	PRACTICE P, 1	2	Target PRACTICE 2 (1, cheese)	16							(any response)	NR	0							Primed							
PA	pa0329	pa0329	Practice	2	PRACTICE P, 1	2	Pair 1 PRACTICE (1, laugh)	20							(any response)	NR	0							Primed							
PA	pa0329	pa0329	Practice	2	PRACTICE P, 1	2	Pair 2 PRACTICE (1, water)	23	Match	z					Match	C	5905							Primed							
PA	pa0329	pa0329	Practice	2	PRACTICE S, 2	6	Target PRACTICE31 (2, shirt)	144							(any response)	NR	0							Satiated							
PA	pa0329	pa0329	Practice	2	PRACTICE S, 2	6	Pair 1 PRACTICE 1 (2, golfer)	148							(any response)	NR	0							Satiated							
PA	pa0329	pa0329	Practice	2	PRACTICE S, 2	6	Pair 2 PRACTICE 1 (2, moose)	151							Match	NR	0							Satiated							
PA	pa0329	pa0329	Practice	2	PRACTICE S, 1	5	Target PRACTICE31 (1, bulbs)	143							(any response)	NR	0							Satiated							
PA	pa0329	pa0329	Practice	2	PRACTICE S, 1	5	Pair 1 PRACTICE 1 (1, cake)	147							(any response)	NR	0							Satiated							
PA	pa0329	pa0329	Practice	2	PRACTICE S, 1	5	Pair 2 PRACTICE 1 (1, decadent)	150	Match	z					Match	C	26762							Satiated							
PA	pa0329	pa0329	Practice	2	PRACTICE S, 3	7	Target PRACTICE31 (3, drag)	145							(any response)	NR	0							Satiated							
PA	pa0329	pa0329	Practice	2	PRACTICE S, 3	7	Pair 1 PRACTICE 1 (3, attack)	149							(any response)	NR	0							Satiated							
PA	pa0329	pa0329	Practice	2	PRACTICE S, 3	7	Pair 2 PRACTICE 1 (3, butter)	152	Mismatch	/					Mismatch	C	26596							Satiated							
PA	pa0329	pa0329	Start Screen 1	3	Start Screen	8	Start Screen	153	Match	z					Match; Mismatch	C	41299														
PA	pa0329	pa0329	Neutral	4	Neutral Satiation Mismatch, 4	27	Target NEU.S.MM 5 (4, lump)	581							(any response)	NR	0							Satiated	Mismatch	Neutral	Neutral	Neutral	Neutral	Satiation	Mismatch
PA	pa0329	pa0329	Neutral	4	Neutral Satiation Mismatch, 4	27	Fixation Cross 1s7	583							(any response)	NR	0							Satiated	Mismatch	Neutral (trial)	Neutral (trial)	Neutral	Neutral	Satiation (trial)	Mismatch (trial)
PA	pa0329	pa0329	Neutral	4	Neutral Satiation Mismatch, 4	27	Pair 1 NEU.S.MM 4 (4, snuggle)	587							(any response)	NR	0							Satiated	Mismatch	Neutral (trial)	Neutral (trial)	Neutral	Neutral	Satiation (trial)	Mismatch (trial)
