pilotb0829
Ryan Hildebrandt Thesis Study Final
09/03/2019	11:13:47 AM

Participant	Participant	Session	Block	Block	Trial	Trial	Event	Event	Cumulative	Participant			Pressed Or	X	Y	Correct	Error	Reaction	Reaction Time	Font Color	ISI Durations	Screen Location	Screen Location II	Repetitions
Group	Name	ID	Name	No.	Name	No.	Name	No.	Time	Response	Key	Key	Released	Position	Position	Response	Code	Time	(Trial Variable)	(Trial Variable)	(Trial Variable)	(Trial Variable)	(Trial Variable)	(Trial Variable)	Primed/Satiated	Match/Mismatch	Valence	Word Type	Pair Type	Block Valence	Trial Type	Word Pair Valence
PB	pilotb0829	pilotb0829	Practice	2	PRACTICE S, 1	5	Target PRACTICE31 (1, bulbs)	143	227788							(any response)	NR	0							Satiated							
PB	pilotb0829	pilotb0829	Practice	2	PRACTICE S, 1	5	Pair 1 PRACTICE 1 (1, cake)	147	228871							(any response)	NR	0							Satiated							
PB	pilotb0829	pilotb0829	Practice	2	PRACTICE S, 1	5	Pair 2 PRACTICE 1 (1, overjoyed)	150	231871							Match	NR	0							Satiated							
PB	pilotb0829	pilotb0829	Practice	2	PRACTICE S, 3	7	Target PRACTICE31 (3, drag)	145	255701							(any response)	NR	0							Satiated							
PB	pilotb0829	pilotb0829	Practice	2	PRACTICE S, 3	7	Pair 1 PRACTICE 1 (3, attack)	149	256785							(any response)	NR	0							Satiated							
PB	pilotb0829	pilotb0829	Practice	2	PRACTICE S, 3	7	Pair 2 PRACTICE 1 (3, butter)	152	259504	Mismatch	/					Mismatch	C	2718							Satiated							
PB	pilotb0829	pilotb0829	Practice	2	PRACTICE P, 3	4	Target PRACTICE 2 (3, stork)	18	262609							(any response)	NR	0							Primed							
PB	pilotb0829	pilotb0829	Practice	2	PRACTICE P, 3	4	Pair 1 PRACTICE (3, drive)	22	263692							(any response)	NR	0							Primed							
PB	pilotb0829	pilotb0829	Practice	2	PRACTICE P, 3	4	Pair 2 PRACTICE (3, burger)	25	266266	Mismatch	/					Match	E	2573							Primed							
PB	pilotb0829	pilotb0829	Practice	2	PRACTICE P, 2	3	Target PRACTICE 2 (2, book)	17	269366							(any response)	NR	0							Primed							
PB	pilotb0829	pilotb0829	Practice	2	PRACTICE P, 2	3	Pair 1 PRACTICE (2, evil)	21	270450							(any response)	NR	0							Primed							
PB	pilotb0829	pilotb0829	Practice	2	PRACTICE P, 2	3	Pair 2 PRACTICE (2, disaster)	24	273450							Match	NR	0							Primed							
PB	pilotb0829	pilotb0829	Practice	2	PRACTICE P, 1	2	Target PRACTICE 2 (1, cheese)	16	276542							(any response)	NR	0							Primed							
PB	pilotb0829	pilotb0829	Practice	2	PRACTICE P, 1	2	Pair 1 PRACTICE (1, laugh)	20	277624							(any response)	NR	0							Primed							
PB	pilotb0829	pilotb0829	Practice	2	PRACTICE P, 1	2	Pair 2 PRACTICE (1, water)	23	279429	Mismatch	/					Match	E	1804							Primed							
PB	pilotb0829	pilotb0829	Practice	2	PRACTICE S, 2	6	Target PRACTICE31 (2, shirt)	144	303254							(any response)	NR	0							Satiated							
PB	pilotb0829	pilotb0829	Practice	2	PRACTICE S, 2	6	Pair 1 PRACTICE 1 (2, golfer)	148	304337							(any response)	NR	0							Satiated							
PB	pilotb0829	pilotb0829	Practice	2	PRACTICE S, 2	6	Pair 2 PRACTICE 1 (2, moose)	151	306734	Mismatch	/					Match	E	2396							Satiated							
PB	pilotb0829	pilotb0829	Start Screen 1	3	Start Screen	8	Start Screen	153	367723	Match	z					Match; Mismatch	C	60960														
PB	pilotb0829	pilotb0829	Neutral	4	Neutral Satiation Match, 4	22	Target NEU.S.M 4 (4, defiant)	390	391534							(any response)	NR	0							Satiated	Match	Neutral	Neutral	Neutral	Neutral	Satiation	Match
PB	pilotb0829	pilotb0829	Neutral	4	Neutral Satiation Match, 4	22	Pair 1 NEU.S.M 3 (4, news)	396	392618							(any response)	NR	0							Satiated	Match	Neutral (trial)	Neutral (trial)	Neutral	Neutral	Satiation (trial)	Match (trial)
PB	pilotb0829	pilotb0829	Neutral	4	Neutral Satiation Match, 4	22	Pair 2 NEU.S.M 3 (4, kick)	401	394612	Mismatch	/					Match	E	1993							Satiated	Match	Neutral (trial)	Neutral (trial)	Neutral	Neutral	Satiation (trial)	Match (trial)
PB	pilotb0829	pilotb0829	Neutral	4	Neutral Prime Match, 5	13	Target NEU.P.M 2 (5, revolt)	171	397707							(any response)	NR	0							Primed	Match	Neutral	Neutral	Neutral	Neutral	Prime	Match
