0325
Ryan Hildebrandt Thesis Study
03/25/2019	12:57:19 PM

Participant	Participant	Session	Block	Block	Trial	Trial	Event	Event	Participant			Pressed Or	X	Y	Correct	Error	Reaction	Reaction Time	Font Color	ISI Durations	Screen Location	Screen Location II	Repetitions
Group	Name	ID	Name	No.	Name	No.	Name	No.	Response	Key	Key	Released	Position	Position	Response	Code	Time	(Trial Variable)	(Trial Variable)	(Trial Variable)	(Trial Variable)	(Trial Variable)	(Trial Variable)	Primed/Satiated	Match/Mismatch	Valence	Word Type	Pair Type	Block Valence	Trial Type	Word Pair Valence
PilotA	0325	pilota0325	Practice	2	PRACTICE P, 1	2	Target PRACTICE 2 (1, cheese)	16							(any response)	NR	0							Primed							
PilotA	0325	pilota0325	Practice	2	PRACTICE P, 1	2	Pair 1 PRACTICE (1, laugh)	20							(any response)	NR	0							Primed							
PilotA	0325	pilota0325	Practice	2	PRACTICE P, 1	2	Pair 2 PRACTICE (1, water)	23	Match	z					Match	C	5785							Primed							
PilotA	0325	pilota0325	Practice	2	PRACTICE P, 3	4	Target PRACTICE 2 (3, stork)	18							(any response)	NR	0							Primed							
PilotA	0325	pilota0325	Practice	2	PRACTICE P, 3	4	Pair 1 PRACTICE (3, drive)	22							(any response)	NR	0							Primed							
PilotA	0325	pilota0325	Practice	2	PRACTICE P, 3	4	Pair 2 PRACTICE (3, burger)	25	Match	z					Match	C	5301							Primed							
PilotA	0325	pilota0325	Practice	2	PRACTICE S, 2	6	Target PRACTICE31 (2, shirt)	144							(any response)	NR	0							Satiated							
PilotA	0325	pilota0325	Practice	2	PRACTICE S, 2	6	Pair 1 PRACTICE 1 (2, golfer)	148							(any response)	NR	0							Satiated							
PilotA	0325	pilota0325	Practice	2	PRACTICE S, 2	6	Pair 2 PRACTICE 1 (2, moose)	151	Mismatch	/					Match	E	25787							Satiated							
PilotA	0325	pilota0325	Practice	2	PRACTICE S, 3	7	Target PRACTICE31 (3, drag)	145							(any response)	NR	0							Satiated							
PilotA	0325	pilota0325	Practice	2	PRACTICE S, 3	7	Pair 1 PRACTICE 1 (3, attack)	149							(any response)	NR	0							Satiated							
PilotA	0325	pilota0325	Practice	2	PRACTICE S, 3	7	Pair 2 PRACTICE 1 (3, butter)	152	Mismatch	/					Mismatch	C	26115							Satiated							
PilotA	0325	pilota0325	Practice	2	PRACTICE P, 2	3	Target PRACTICE 2 (2, book)	17							(any response)	NR	0							Primed							
PilotA	0325	pilota0325	Practice	2	PRACTICE P, 2	3	Pair 1 PRACTICE (2, evil)	21							(any response)	NR	0							Primed							
