pilota1031
Ryan Hildebrandt Thesis Study Final
10/31/2019	09:54:52 AM

Participant	Participant	Session	Block	Block	Trial	Trial	Event	Event	Cumulative	Participant			Pressed Or	X	Y	Correct	Error	Reaction	Reaction Time	Font Color	ISI Durations	Screen Location	Screen Location II	Repetitions
Group	Name	ID	Name	No.	Name	No.	Name	No.	Time	Response	Key	Key	Released	Position	Position	Response	Code	Time	(Trial Variable)	(Trial Variable)	(Trial Variable)	(Trial Variable)	(Trial Variable)	(Trial Variable)	Primed/Satiated	Match/Mismatch	Valence	Word Type	Pair Type	Block Valence	Trial Type	Word Pair Valence
PilotA	pilota1031	pilota1031	Practice	2	PRACTICE P, 2	3	Target PRACTICE 2 (2, book)	17	176791							(any response)	NR	0							Primed							
PilotA	pilota1031	pilota1031	Practice	2	PRACTICE P, 2	3	Pair 1 PRACTICE (2, evil)	21	177871							(any response)	NR	0							Primed							
PilotA	pilota1031	pilota1031	Practice	2	PRACTICE P, 2	3	Pair 2 PRACTICE (2, disaster)	24	179491	Match	z					Match	C	1620							Primed							
PilotA	pilota1031	pilota1031	Practice	2	PRACTICE S, 3	7	Target PRACTICE31 (3, drag)	145	203322							(any response)	NR	0							Satiated							
PilotA	pilota1031	pilota1031	Practice	2	PRACTICE S, 3	7	Pair 1 PRACTICE 1 (3, attack)	149	204400							(any response)	NR	0							Satiated							
PilotA	pilota1031	pilota1031	Practice	2	PRACTICE S, 3	7	Pair 2 PRACTICE 1 (3, butter)	152	206020	Mismatch	/					Mismatch	C	1619							Satiated							
PilotA	pilota1031	pilota1031	Practice	2	PRACTICE P, 1	2	Target PRACTICE 2 (1, cheese)	16	209127							(any response)	NR	0							Primed							
PilotA	pilota1031	pilota1031	Practice	2	PRACTICE P, 1	2	Pair 1 PRACTICE (1, laugh)	20	210206							(any response)	NR	0							Primed							
PilotA	pilota1031	pilota1031	Practice	2	PRACTICE P, 1	2	Pair 2 PRACTICE (1, water)	23	211825	Mismatch	/					Match	E	1619							Primed							
PilotA	pilota1031	pilota1031	Practice	2	PRACTICE S, 1	5	Target PRACTICE31 (1, bulbs)	143	235657							(any response)	NR	0							Satiated							
PilotA	pilota1031	pilota1031	Practice	2	PRACTICE S, 1	5	Pair 1 PRACTICE 1 (1, cake)	147	236736							(any response)	NR	0							Satiated							
PilotA	pilota1031	pilota1031	Practice	2	PRACTICE S, 1	5	Pair 2 PRACTICE 1 (1, overjoyed)	150	237792	Match	z					Match	C	1055							Satiated							
PilotA	pilota1031	pilota1031	Practice	2	PRACTICE P, 3	4	Target PRACTICE 2 (3, stork)	18	240896							(any response)	NR	0							Primed							
PilotA	pilota1031	pilota1031	Practice	2	PRACTICE P, 3	4	Pair 1 PRACTICE (3, drive)	22	241975							(any response)	NR	0							Primed							
PilotA	pilota1031	pilota1031	Practice	2	PRACTICE P, 3	4	Pair 2 PRACTICE (3, burger)	25	243395	Mismatch	/					Match	E	1419							Primed							
PilotA	pilota1031	pilota1031	Practice	2	PRACTICE S, 2	6	Target PRACTICE31 (2, shirt)	144	267225							(any response)	NR	0							Satiated							
PilotA	pilota1031	pilota1031	Practice	2	PRACTICE S, 2	6	Pair 1 PRACTICE 1 (2, golfer)	148	268304							(any response)	NR	0							Satiated							
PilotA	pilota1031	pilota1031	Practice	2	PRACTICE S, 2	6	Pair 2 PRACTICE 1 (2, moose)	151	270036	Mismatch	/					Match	E	1731							Satiated							
PilotA	pilota1031	pilota1031	Start Screen 1	3	Start Screen	8	Start Screen	153	301053	Match	z					Match; Mismatch	C	30974														
PilotA	pilota1031	pilota1031	Neutral	4	Neutral Satiation Match, 2	20	Target NEU.S.M 4 (2, rough)	388	324873							(any response)	NR	0							Satiated	Match	Neutral	Neutral	Neutral	Neutral	Satiation	Match
PilotA	pilota1031	pilota1031	Neutral	4	Neutral Satiation Match, 2	20	Pair 1 NEU.S.M 3 (2, kiss)	394	325951							(any response)	NR	0							Satiated	Match	Neutral (trial)	Neutral (trial)	Neutral	Neutral	Satiation (trial)	Match (trial)
PilotA	pilota1031	pilota1031	Neutral	4	Neutral Satiation Match, 2	20	Pair 2 NEU.S.M 3 (2, pride)	399	328280	Match	z					Match	C	2328							Satiated	Match	Neutral (trial)	Neutral (trial)	Neutral	Neutral	Satiation (trial)	Match (trial)
PilotA	pilota1031	pilota1031	Neutral	4	Neutral Prime Mismatch, 2	15	Target NEU.P.MM 3 (2, obscene)	197	331379							(any response)	NR	0							Primed	Mismatch	Neutral	Neutral	Neutral	Neutral	Prime	Mismatch
PilotA	pilota1031	pilota1031	Neutral	4	Neutral Prime Mismatch, 2	15	Pair 1 NEU.P.MM 2 (2, mystic)	203	332458							(any response)	NR	0							Primed	Mismatch	Neutral (trial)	Neutral (trial)	Neutral	Neutral	Prime (trial)	Mismatch (trial)
PilotA	pilota1031	pilota1031	Neutral	4	Neutral Prime Mismatch, 2	15	Pair 2 NEU.P.MM 2 (2, diamond)	208	335041	Match	z					Mismatch	E	2578							Primed	Mismatch	Neutral (trial)	Neutral (trial)	Neutral	Neutral	Prime (trial)	Mismatch (trial)
PilotA	pilota1031	pilota1031	Neutral	4	Neutral Prime Match, 3	11	Target NEU.P.M 2 (3, boxer)	169	338153							(any response)	NR	0							Primed	Match	Neutral	Neutral	Neutral	Neutral	Prime	Match
PilotA	pilota1031	pilota1031	Neutral	4	Neutral Prime Match, 3	11	Pair 1 NEU.P.M 1 (3, scared)	175	339232							(any response)	NR	0							Primed	Match	Neutral (trial)	Neutral (trial)	Neutral	Neutral	Prime (trial)	Match (trial)
PilotA	pilota1031	pilota1031	Neutral	4	Neutral Prime Match, 3	11	Pair 2 NEU.P.M 1 (3, crisis)	180	340126	Match	z					Match	C	889							Primed	Match	Neutral (trial)	Neutral (trial)	Neutral	Neutral	Prime (trial)	Match (trial)
PilotA	pilota1031	pilota1031	Neutral	4	Neutral Prime Match, 1	9	Target NEU.P.M 2 (1, hit)	167	343226							(any response)	NR	0							Primed	Match	Neutral	Neutral	Neutral	Neutral	Prime	Match
PilotA	pilota1031	pilota1031	Neutral	4	Neutral Prime Match, 1	9	Pair 1 NEU.P.M 1 (1, tumor)	173	344303							(any response)	NR	0							Primed	Match	Neutral (trial)	Neutral (trial)	Neutral	Neutral	Prime (trial)	Match (trial)
PilotA	pilota1031	pilota1031	Neutral	4	Neutral Prime Match, 1	9	Pair 2 NEU.P.M 1 (1, rotten)	178	346224	Mismatch	/					Match	E	1920							Primed	Match	Neutral (trial)	Neutral (trial)	Neutral	Neutral	Prime (trial)	Match (trial)
PilotA	pilota1031	pilota1031	Neutral	4	Neutral Satiation Match, 1	19	Target NEU.S.M 4 (1, alien)	387	370056							(any response)	NR	0							Satiated	Match	Neutral	Neutral	Neutral	Neutral	Satiation	Match
PilotA	pilota1031	pilota1031	Neutral	4	Neutral Satiation Match, 1	19	Pair 1 NEU.S.M 3 (1, highway)	393	371133							(any response)	NR	0							Satiated	Match	Neutral (trial)	Neutral (trial)	Neutral	Neutral	Satiation (trial)	Match (trial)
PilotA	pilota1031	pilota1031	Neutral	4	Neutral Satiation Match, 1	19	Pair 2 NEU.S.M 3 (1, noisy)	398	372753	Match	z					Match	C	1619							Satiated	Match	Neutral (trial)	Neutral (trial)	Neutral	Neutral	Satiation (trial)	Match (trial)
PilotA	pilota1031	pilota1031	Neutral	4	Neutral Satiation Mismatch, 4	27	Target NEU.S.MM 5 (4, lump)	581	396602							(any response)	NR	0							Satiated	Mismatch	Neutral	Neutral	Neutral	Neutral	Satiation	Mismatch
PilotA	pilota1031	pilota1031	Neutral	4	Neutral Satiation Mismatch, 4	27	Pair 1 NEU.S.MM 4 (4, snuggle)	587	397680							(any response)	NR	0							Satiated	Mismatch	Neutral (trial)	Neutral (trial)	Neutral	Neutral	Satiation (trial)	Mismatch (trial)
PilotA	pilota1031	pilota1031	Neutral	4	Neutral Satiation Mismatch, 4	27	Pair 2 NEU.S.MM 4 (4, coffin)	592	399023	Mismatch	/					Mismatch	C	1342							Satiated	Mismatch	Neutral (trial)	Neutral (trial)	Neutral	Neutral	Satiation (trial)	Mismatch (trial)
PilotA	pilota1031	pilota1031	Neutral	4	Neutral Prime Mismatch, 5	18	Target NEU.P.MM 3 (5, lion)	200	402125							(any response)	NR	0							Primed	Mismatch	Neutral	Neutral	Neutral	Neutral	Prime	Mismatch
