pilota1032
Ryan Hildebrandt Thesis Study Final
10/31/2019	02:20:45 PM

Participant	Participant	Session	Block	Block	Trial	Trial	Event	Event	Cumulative	Participant			Pressed Or	X	Y	Correct	Error	Reaction	Reaction Time	Font Color	ISI Durations	Screen Location	Screen Location II	Repetitions
Group	Name	ID	Name	No.	Name	No.	Name	No.	Time	Response	Key	Key	Released	Position	Position	Response	Code	Time	(Trial Variable)	(Trial Variable)	(Trial Variable)	(Trial Variable)	(Trial Variable)	(Trial Variable)	Primed/Satiated	Match/Mismatch	Valence	Word Type	Pair Type	Block Valence	Trial Type	Word Pair Valence
PilotA	pilota1032	pilota1032	Practice	2	PRACTICE P, 3	4	Target PRACTICE 2 (3, stork)	18	213028							(any response)	NR	0							Primed							
PilotA	pilota1032	pilota1032	Practice	2	PRACTICE P, 3	4	Pair 1 PRACTICE (3, drive)	22	214108							(any response)	NR	0							Primed							
PilotA	pilota1032	pilota1032	Practice	2	PRACTICE P, 3	4	Pair 2 PRACTICE (3, burger)	25	216767	Mismatch	/					Match	E	2659							Primed							
PilotA	pilota1032	pilota1032	Practice	2	PRACTICE S, 1	5	Target PRACTICE31 (1, bulbs)	143	240593							(any response)	NR	0							Satiated							
PilotA	pilota1032	pilota1032	Practice	2	PRACTICE S, 1	5	Pair 1 PRACTICE 1 (1, cake)	147	241671							(any response)	NR	0							Satiated							
PilotA	pilota1032	pilota1032	Practice	2	PRACTICE S, 1	5	Pair 2 PRACTICE 1 (1, overjoyed)	150	244672							Match	NR	0							Satiated							
PilotA	pilota1032	pilota1032	Practice	2	PRACTICE P, 2	3	Target PRACTICE 2 (2, book)	17	247783							(any response)	NR	0							Primed							
PilotA	pilota1032	pilota1032	Practice	2	PRACTICE P, 2	3	Pair 1 PRACTICE (2, evil)	21	248862							(any response)	NR	0							Primed							
PilotA	pilota1032	pilota1032	Practice	2	PRACTICE P, 2	3	Pair 2 PRACTICE (2, disaster)	24	250519	Match	z					Match	C	1656							Primed							
PilotA	pilota1032	pilota1032	Practice	2	PRACTICE S, 2	6	Target PRACTICE31 (2, shirt)	144	274347							(any response)	NR	0							Satiated							
PilotA	pilota1032	pilota1032	Practice	2	PRACTICE S, 2	6	Pair 1 PRACTICE 1 (2, golfer)	148	275424							(any response)	NR	0							Satiated							
PilotA	pilota1032	pilota1032	Practice	2	PRACTICE S, 2	6	Pair 2 PRACTICE 1 (2, moose)	151	277194	Mismatch	/					Match	E	1764							Satiated							
PilotA	pilota1032	pilota1032	Practice	2	PRACTICE P, 1	2	Target PRACTICE 2 (1, cheese)	16	280303							(any response)	NR	0							Primed							
PilotA	pilota1032	pilota1032	Practice	2	PRACTICE P, 1	2	Pair 1 PRACTICE (1, laugh)	20	281381							(any response)	NR	0							Primed							
PilotA	pilota1032	pilota1032	Practice	2	PRACTICE P, 1	2	Pair 2 PRACTICE (1, water)	23	282853	Mismatch	/					Match	E	1471							Primed							
PilotA	pilota1032	pilota1032	Practice	2	PRACTICE S, 3	7	Target PRACTICE31 (3, drag)	145	306682							(any response)	NR	0							Satiated							
PilotA	pilota1032	pilota1032	Practice	2	PRACTICE S, 3	7	Pair 1 PRACTICE 1 (3, attack)	149	307761							(any response)	NR	0							Satiated							
PilotA	pilota1032	pilota1032	Practice	2	PRACTICE S, 3	7	Pair 2 PRACTICE 1 (3, butter)	152	309933	Mismatch	/					Mismatch	C	2167							Satiated							
PilotA	pilota1032	pilota1032	Start Screen 1	3	Start Screen	8	Start Screen	153	406181	Match	z					Match; Mismatch	C	96212														
PilotA	pilota1032	pilota1032	Neutral	4	Neutral Prime Mismatch, 5	18	Target NEU.P.MM 3 (5, lion)	200	409278							(any response)	NR	0							Primed	Mismatch	Neutral	Neutral	Neutral	Neutral	Prime	Mismatch
PilotA	pilota1032	pilota1032	Neutral	4	Neutral Prime Mismatch, 5	18	Pair 1 NEU.P.MM 2 (5, bride)	206	410357							(any response)	NR	0							Primed	Mismatch	Neutral (trial)	Neutral (trial)	Neutral	Neutral	Prime (trial)	Mismatch (trial)
PilotA	pilota1032	pilota1032	Neutral	4	Neutral Prime Mismatch, 5	18	Pair 2 NEU.P.MM 2 (5, unhappy)	211	412369	Mismatch	/					Mismatch	C	2011							Primed	Mismatch	Neutral (trial)	Neutral (trial)	Neutral	Neutral	Prime (trial)	Mismatch (trial)
PilotA	pilota1032	pilota1032	Neutral	4	Neutral Prime Match, 3	11	Target NEU.P.M 2 (3, boxer)	169	415468							(any response)	NR	0							Primed	Match	Neutral	Neutral	Neutral	Neutral	Prime	Match
PilotA	pilota1032	pilota1032	Neutral	4	Neutral Prime Match, 3	11	Pair 1 NEU.P.M 1 (3, scared)	175	416547							(any response)	NR	0							Primed	Match	Neutral (trial)	Neutral (trial)	Neutral	Neutral	Prime (trial)	Match (trial)
PilotA	pilota1032	pilota1032	Neutral	4	Neutral Prime Match, 3	11	Pair 2 NEU.P.M 1 (3, crisis)	180	417848	Match	z					Match	C	1300							Primed	Match	Neutral (trial)	Neutral (trial)	Neutral	Neutral	Prime (trial)	Match (trial)
PilotA	pilota1032	pilota1032	Neutral	4	Neutral Satiation Mismatch, 3	26	Target NEU.S.MM 5 (3, cold)	580	441684							(any response)	NR	0							Satiated	Mismatch	Neutral	Neutral	Neutral	Neutral	Satiation	Mismatch
PilotA	pilota1032	pilota1032	Neutral	4	Neutral Satiation Mismatch, 3	26	Pair 1 NEU.S.MM 4 (3, storm)	586	442759							(any response)	NR	0							Satiated	Mismatch	Neutral (trial)	Neutral (trial)	Neutral	Neutral	Satiation (trial)	Mismatch (trial)
PilotA	pilota1032	pilota1032	Neutral	4	Neutral Satiation Mismatch, 3	26	Pair 2 NEU.S.MM 4 (3, luxury)	591	444748	Mismatch	/					Mismatch	C	1983							Satiated	Mismatch	Neutral (trial)	Neutral (trial)	Neutral	Neutral	Satiation (trial)	Mismatch (trial)
PilotA	pilota1032	pilota1032	Neutral	4	Neutral Satiation Match, 3	21	Target NEU.S.M 4 (3, reptile)	389	468577							(any response)	NR	0							Satiated	Match	Neutral	Neutral	Neutral	Neutral	Satiation	Match
PilotA	pilota1032	pilota1032	Neutral	4	Neutral Satiation Match, 3	21	Pair 1 NEU.S.M 3 (3, cake)	395	469655							(any response)	NR	0							Satiated	Match	Neutral (trial)	Neutral (trial)	Neutral	Neutral	Satiation (trial)	Match (trial)
PilotA	pilota1032	pilota1032	Neutral	4	Neutral Satiation Match, 3	21	Pair 2 NEU.S.M 3 (3, cute)	400	472256	Match	z					Match	C	2600							Satiated	Match	Neutral (trial)	Neutral (trial)	Neutral	Neutral	Satiation (trial)	Match (trial)
PilotA	pilota1032	pilota1032	Neutral	4	Neutral Satiation Match, 2	20	Target NEU.S.M 4 (2, rough)	388	496090							(any response)	NR	0							Satiated	Match	Neutral	Neutral	Neutral	Neutral	Satiation	Match
PilotA	pilota1032	pilota1032	Neutral	4	Neutral Satiation Match, 2	20	Pair 1 NEU.S.M 3 (2, kiss)	394	497169							(any response)	NR	0							Satiated	Match	Neutral (trial)	Neutral (trial)	Neutral	Neutral	Satiation (trial)	Match (trial)
PilotA	pilota1032	pilota1032	Neutral	4	Neutral Satiation Match, 2	20	Pair 2 NEU.S.M 3 (2, pride)	399	499561	Match	z					Match	C	2391							Satiated	Match	Neutral (trial)	Neutral (trial)	Neutral	Neutral	Satiation (trial)	Match (trial)
PilotA	pilota1032	pilota1032	Neutral	4	Neutral Satiation Match, 1	19	Target NEU.S.M 4 (1, alien)	387	523388							(any response)	NR	0							Satiated	Match	Neutral	Neutral	Neutral	Neutral	Satiation	Match
PilotA	pilota1032	pilota1032	Neutral	4	Neutral Satiation Match, 1	19	Pair 1 NEU.S.M 3 (1, highway)	393	524466							(any response)	NR	0							Satiated	Match	Neutral (trial)	Neutral (trial)	Neutral	Neutral	Satiation (trial)	Match (trial)
PilotA	pilota1032	pilota1032	Neutral	4	Neutral Satiation Match, 1	19	Pair 2 NEU.S.M 3 (1, noisy)	398	527473							Match	NR	0							Satiated	Match	Neutral (trial)	Neutral (trial)	Neutral	Neutral	Satiation (trial)	Match (trial)
PilotA	pilota1032	pilota1032	Neutral	4	Neutral Prime Match, 1	9	Target NEU.P.M 2 (1, hit)	167	530577							(any response)	NR	0							Primed	Match	Neutral	Neutral	Neutral	Neutral	Prime	Match
PilotA	pilota1032	pilota1032	Neutral	4	Neutral Prime Match, 1	9	Pair 1 NEU.P.M 1 (1, tumor)	173	531658							(any response)	NR	0							Primed	Match	Neutral (trial)	Neutral (trial)	Neutral	Neutral	Prime (trial)	Match (trial)
PilotA	pilota1032	pilota1032	Neutral	4	Neutral Prime Match, 1	9	Pair 2 NEU.P.M 1 (1, rotten)	178	533211	Match	z					Match	C	1547							Primed	Match	Neutral (trial)	Neutral (trial)	Neutral	Neutral	Prime (trial)	Match (trial)
PilotA	pilota1032	pilota1032	Neutral	4	Neutral Prime Mismatch, 1	14	Target NEU.P.MM 3 (1, cliff)	196	536319							(any response)	NR	0							Primed	Mismatch	Neutral	Neutral	Neutral	Neutral	Prime	Mismatch
PilotA	pilota1032	pilota1032	Neutral	4	Neutral Prime Mismatch, 1	14	Pair 1 NEU.P.MM 2 (1, hopeful)	202	537397							(any response)	NR	0							Primed	Mismatch	Neutral (trial)	Neutral (trial)	Neutral	Neutral	Prime (trial)	Mismatch (trial)
