pilotb0326
Ryan Hildebrandt Thesis Study
03/26/2019	11:01:06 AM

Participant	Participant	Session	Block	Block	Trial	Trial	Event	Event	Participant			Pressed Or	X	Y	Correct	Error	Reaction	Reaction Time	Font Color	ISI Durations	Screen Location	Screen Location II	Repetitions
Group	Name	ID	Name	No.	Name	No.	Name	No.	Response	Key	Key	Released	Position	Position	Response	Code	Time	(Trial Variable)	(Trial Variable)	(Trial Variable)	(Trial Variable)	(Trial Variable)	(Trial Variable)	Primed/Satiated	Match/Mismatch	Valence	Word Type	Pair Type	Block Valence	Trial Type	Word Pair Valence
PilotB	pilotb0326	pilotb0326	Practice	2	PRACTICE P, 2	3	Target PRACTICE 2 (2, book)	17							(any response)	NR	0							Primed							
PilotB	pilotb0326	pilotb0326	Practice	2	PRACTICE P, 2	3	Pair 1 PRACTICE (2, evil)	21							(any response)	NR	0							Primed							
PilotB	pilotb0326	pilotb0326	Practice	2	PRACTICE P, 2	3	Pair 2 PRACTICE (2, disaster)	24							Match	NR	0							Primed							
PilotB	pilotb0326	pilotb0326	Practice	2	PRACTICE P, 1	2	Target PRACTICE 2 (1, cheese)	16							(any response)	NR	0							Primed							
PilotB	pilotb0326	pilotb0326	Practice	2	PRACTICE P, 1	2	Pair 1 PRACTICE (1, laugh)	20							(any response)	NR	0							Primed							
PilotB	pilotb0326	pilotb0326	Practice	2	PRACTICE P, 1	2	Pair 2 PRACTICE (1, water)	23							Match	NR	0							Primed							
PilotB	pilotb0326	pilotb0326	Practice	2	PRACTICE P, 3	4	Target PRACTICE 2 (3, stork)	18							(any response)	NR	0							Primed							
PilotB	pilotb0326	pilotb0326	Practice	2	PRACTICE P, 3	4	Pair 1 PRACTICE (3, drive)	22							(any response)	NR	0							Primed							
PilotB	pilotb0326	pilotb0326	Practice	2	PRACTICE P, 3	4	Pair 2 PRACTICE (3, burger)	25	Mismatch	/					Match	E	5356							Primed							
PilotB	pilotb0326	pilotb0326	Practice	2	PRACTICE S, 2	6	Target PRACTICE31 (2, shirt)	144							(any response)	NR	0							Satiated							
PilotB	pilotb0326	pilotb0326	Practice	2	PRACTICE S, 2	6	Pair 1 PRACTICE 1 (2, golfer)	148							(any response)	NR	0							Satiated							
PilotB	pilotb0326	pilotb0326	Practice	2	PRACTICE S, 2	6	Pair 2 PRACTICE 1 (2, moose)	151	Mismatch	/					Match	E	26574							Satiated							
PilotB	pilotb0326	pilotb0326	Practice	2	PRACTICE S, 1	5	Target PRACTICE31 (1, bulbs)	143							(any response)	NR	0							Satiated							
PilotB	pilotb0326	pilotb0326	Practice	2	PRACTICE S, 1	5	Pair 1 PRACTICE 1 (1, cake)	147							(any response)	NR	0							Satiated							
PilotB	pilotb0326	pilotb0326	Practice	2	PRACTICE S, 1	5	Pair 2 PRACTICE 1 (1, decadent)	150	Match	z					Match	C	26771							Satiated							
PilotB	pilotb0326	pilotb0326	Practice	2	PRACTICE S, 3	7	Target PRACTICE31 (3, drag)	145							(any response)	NR	0							Satiated							
PilotB	pilotb0326	pilotb0326	Practice	2	PRACTICE S, 3	7	Pair 1 PRACTICE 1 (3, attack)	149							(any response)	NR	0							Satiated							
PilotB	pilotb0326	pilotb0326	Practice	2	PRACTICE S, 3	7	Pair 2 PRACTICE 1 (3, butter)	152	Mismatch	/					Mismatch	C	26082							Satiated							
PilotB	pilotb0326	pilotb0326	Start Screen 1	3	Start Screen	8	Start Screen	153	Mismatch	/					Match; Mismatch	C	20885														
PilotB	pilotb0326	pilotb0326	Neutral	4	Neutral Satiation Mismatch, 2	25	Target NEU.S.MM 5 (2, body)	579							(any response)	NR	0							Satiated	Mismatch	Neutral	Neutral	Neutral	Neutral	Satiation	Mismatch
PilotB	pilotb0326	pilotb0326	Neutral	4	Neutral Satiation Mismatch, 2	25	Fixation Cross 1s7	583							(any response)	NR	0							Satiated	Mismatch	Neutral (trial)	Neutral (trial)	Neutral	Neutral	Satiation (trial)	Mismatch (trial)
PilotB	pilotb0326	pilotb0326	Neutral	4	Neutral Satiation Mismatch, 2	25	Pair 1 NEU.S.MM 4 (2, hurt)	585							(any response)	NR	0							Satiated	Mismatch	Neutral (trial)	Neutral (trial)	Neutral	Neutral	Satiation (trial)	Mismatch (trial)
PilotB	pilotb0326	pilotb0326	Neutral	4	Neutral Satiation Mismatch, 2	25	Pair 2 NEU.S.MM 4 (2, clumsy)	590							Mismatch	NR	0							Satiated	Mismatch	Neutral (trial)	Neutral (trial)	Neutral	Neutral	Satiation (trial)	Mismatch (trial)
PilotB	pilotb0326	pilotb0326	Neutral	4	Neutral Prime Mismatch, 1	14	Target NEU.P.MM 3 (1, cliff)	196							(any response)	NR	0							Primed	Mismatch	Neutral	Neutral	Neutral	Neutral	Prime	Mismatch
PilotB	pilotb0326	pilotb0326	Neutral	4	Neutral Prime Mismatch, 1	14	Pair 1 NEU.P.MM 2 (1, hopeful)	202							(any response)	NR	0							Primed	Mismatch	Neutral (trial)	Neutral (trial)	Neutral	Neutral	Prime (trial)	Mismatch (trial)
PilotB	pilotb0326	pilotb0326	Neutral	4	Neutral Prime Mismatch, 1	14	Pair 2 NEU.P.MM 2 (1, selfish)	207	Mismatch	/					Mismatch	C	5344							Primed	Mismatch	Neutral (trial)	Neutral (trial)	Neutral	Neutral	Prime (trial)	Mismatch (trial)
PilotB	pilotb0326	pilotb0326	Neutral	4	Neutral Satiation Match, 3	21	Target NEU.S.M 4 (3, reptile)	389							(any response)	NR	0							Satiated	Match	Neutral	Neutral	Neutral	Neutral	Satiation	Match
PilotB	pilotb0326	pilotb0326	Neutral	4	Neutral Satiation Match, 3	21	Pair 1 NEU.S.M 3 (3, cake)	395							(any response)	NR	0							Satiated	Match	Neutral (trial)	Neutral (trial)	Neutral	Neutral	Satiation (trial)	Match (trial)
PilotB	pilotb0326	pilotb0326	Neutral	4	Neutral Satiation Match, 3	21	Pair 2 NEU.S.M 3 (3, cute)	400	Match	z					Match	C	25993							Satiated	Match	Neutral (trial)	Neutral (trial)	Neutral	Neutral	Satiation (trial)	Match (trial)
PilotB	pilotb0326	pilotb0326	Neutral	4	Neutral Prime Mismatch, 3	16	Target NEU.P.MM 3 (3, hide)	198							(any response)	NR	0							Primed	Mismatch	Neutral	Neutral	Neutral	Neutral	Prime	Mismatch
PilotB	pilotb0326	pilotb0326	Neutral	4	Neutral Prime Mismatch, 3	16	Pair 1 NEU.P.MM 2 (3, injury)	204							(any response)	NR	0							Primed	Mismatch	Neutral (trial)	Neutral (trial)	Neutral	Neutral	Prime (trial)	Mismatch (trial)
PilotB	pilotb0326	pilotb0326	Neutral	4	Neutral Prime Mismatch, 3	16	Pair 2 NEU.P.MM 2 (3, beast)	209							Mismatch	NR	0							Primed	Mismatch	Neutral (trial)	Neutral (trial)	Neutral	Neutral	Prime (trial)	Mismatch (trial)
PilotB	pilotb0326	pilotb0326	Neutral	4	Neutral Prime Match, 5	13	Target NEU.P.M 2 (5, revolt)	171							(any response)	NR	0							Primed	Match	Neutral	Neutral	Neutral	Neutral	Prime	Match
PilotB	pilotb0326	pilotb0326	Neutral	4	Neutral Prime Match, 5	13	Pair 1 NEU.P.M 1 (5, aroused)	177							(any response)	NR	0							Primed	Match	Neutral (trial)	Neutral (trial)	Neutral	Neutral	Prime (trial)	Match (trial)
PilotB	pilotb0326	pilotb0326	Neutral	4	Neutral Prime Match, 5	13	Pair 2 NEU.P.M 1 (5, wealthy)	182	Mismatch	/					Match	E	5610							Primed	Match	Neutral (trial)	Neutral (trial)	Neutral	Neutral	Prime (trial)	Match (trial)
PilotB	pilotb0326	pilotb0326	Neutral	4	Neutral Prime Mismatch, 5	18	Target NEU.P.MM 3 (5, lion)	200							(any response)	NR	0							Primed	Mismatch	Neutral	Neutral	Neutral	Neutral	Prime	Mismatch
PilotB	pilotb0326	pilotb0326	Neutral	4	Neutral Prime Mismatch, 5	18	Pair 1 NEU.P.MM 2 (5, bride)	206							(any response)	NR	0							Primed	Mismatch	Neutral (trial)	Neutral (trial)	Neutral	Neutral	Prime (trial)	Mismatch (trial)
PilotB	pilotb0326	pilotb0326	Neutral	4	Neutral Prime Mismatch, 5	18	Pair 2 NEU.P.MM 2 (5, unhappy)	211	Mismatch	/					Mismatch	C	5450							Primed	Mismatch	Neutral (trial)	Neutral (trial)	Neutral	Neutral	Prime (trial)	Mismatch (trial)
PilotB	pilotb0326	pilotb0326	Neutral	4	Neutral Satiation Mismatch, 1	24	Target NEU.S.MM 5 (1, trumpet)	578							(any response)	NR	0							Satiated	Mismatch	Neutral	Neutral	Neutral	Neutral	Satiation	Mismatch
PilotB	pilotb0326	pilotb0326	Neutral	4	Neutral Satiation Mismatch, 1	24	Fixation Cross 1s7	583							(any response)	NR	0							Satiated	Mismatch	Neutral (trial)	Neutral (trial)	Neutral	Neutral	Satiation (trial)	Mismatch (trial)
PilotB	pilotb0326	pilotb0326	Neutral	4	Neutral Satiation Mismatch, 1	24	Pair 1 NEU.S.MM 4 (1, jail)	584							(any response)	NR	0							Satiated	Mismatch	Neutral (trial)	Neutral (trial)	Neutral	Neutral	Satiation (trial)	Mismatch (trial)
PilotB	pilotb0326	pilotb0326	Neutral	4	Neutral Satiation Mismatch, 1	24	Pair 2 NEU.S.MM 4 (1, truck)	589	Mismatch	/					Mismatch	C	26134							Satiated	Mismatch	Neutral (trial)	Neutral (trial)	Neutral	Neutral	Satiation (trial)	Mismatch (trial)
PilotB	pilotb0326	pilotb0326	Neutral	4	Neutral Satiation Match, 4	22	Target NEU.S.M 4 (4, defiant)	390							(any response)	NR	0							Satiated	Match	Neutral	Neutral	Neutral	Neutral	Satiation	Match
PilotB	pilotb0326	pilotb0326	Neutral	4	Neutral Satiation Match, 4	22	Pair 1 NEU.S.M 3 (4, news)	396							(any response)	NR	0							Satiated	Match	Neutral (trial)	Neutral (trial)	Neutral	Neutral	Satiation (trial)	Match (trial)
PilotB	pilotb0326	pilotb0326	Neutral	4	Neutral Satiation Match, 4	22	Pair 2 NEU.S.M 3 (4, kick)	401	Mismatch	/					Match	E	25984							Satiated	Match	Neutral (trial)	Neutral (trial)	Neutral	Neutral	Satiation (trial)	Match (trial)
PilotB	pilotb0326	pilotb0326	Neutral	4	Neutral Prime Match, 3	11	Target NEU.P.M 2 (3, boxer)	169							(any response)	NR	0							Primed	Match	Neutral	Neutral	Neutral	Neutral	Prime	Match
PilotB	pilotb0326	pilotb0326	Neutral	4	Neutral Prime Match, 3	11	Pair 1 NEU.P.M 1 (3, scared)	175							(any response)	NR	0							Primed	Match	Neutral (trial)	Neutral (trial)	Neutral	Neutral	Prime (trial)	Match (trial)
PilotB	pilotb0326	pilotb0326	Neutral	4	Neutral Prime Match, 3	11	Pair 2 NEU.P.M 1 (3, crisis)	180	Match	z					Match	C	5303							Primed	Match	Neutral (trial)	Neutral (trial)	Neutral	Neutral	Prime (trial)	Match (trial)
PilotB	pilotb0326	pilotb0326	Neutral	4	Neutral Satiation Match, 2	20	Target NEU.S.M 4 (2, rough)	388							(any response)	NR	0							Satiated	Match	Neutral	Neutral	Neutral	Neutral	Satiation	Match
PilotB	pilotb0326	pilotb0326	Neutral	4	Neutral Satiation Match, 2	20	Pair 1 NEU.S.M 3 (2, kiss)	394							(any response)	NR	0							Satiated	Match	Neutral (trial)	Neutral (trial)	Neutral	Neutral	Satiation (trial)	Match (trial)
PilotB	pilotb0326	pilotb0326	Neutral	4	Neutral Satiation Match, 2	20	Pair 2 NEU.S.M 3 (2, pride)	399	Mismatch	/					Match	E	26483							Satiated	Match	Neutral (trial)	Neutral (trial)	Neutral	Neutral	Satiation (trial)	Match (trial)
PilotB	pilotb0326	pilotb0326	Neutral	4	Neutral Prime Match, 4	12	Target NEU.P.M 2 (4, vanity)	170							(any response)	NR	0							Primed	Match	Neutral	Neutral	Neutral	Neutral	Prime	Match
PilotB	pilotb0326	pilotb0326	Neutral	4	Neutral Prime Match, 4	12	Pair 1 NEU.P.M 1 (4, alone)	176							(any response)	NR	0							Primed	Match	Neutral (trial)	Neutral (trial)	Neutral	Neutral	Prime (trial)	Match (trial)
PilotB	pilotb0326	pilotb0326	Neutral	4	Neutral Prime Match, 4	12	Pair 2 NEU.P.M 1 (4, horror)	181	Match	z					Match	C	5111							Primed	Match	Neutral (trial)	Neutral (trial)	Neutral	Neutral	Prime (trial)	Match (trial)
PilotB	pilotb0326	pilotb0326	Neutral	4	Neutral Satiation Mismatch, 4	27	Target NEU.S.MM 5 (4, lump)	581							(any response)	NR	0							Satiated	Mismatch	Neutral	Neutral	Neutral	Neutral	Satiation	Mismatch
PilotB	pilotb0326	pilotb0326	Neutral	4	Neutral Satiation Mismatch, 4	27	Fixation Cross 1s7	583							(any response)	NR	0							Satiated	Mismatch	Neutral (trial)	Neutral (trial)	Neutral	Neutral	Satiation (trial)	Mismatch (trial)
PilotB	pilotb0326	pilotb0326	Neutral	4	Neutral Satiation Mismatch, 4	27	Pair 1 NEU.S.MM 4 (4, snuggle)	587							(any response)	NR	0							Satiated	Mismatch	Neutral (trial)	Neutral (trial)	Neutral	Neutral	Satiation (trial)	Mismatch (trial)
PilotB	pilotb0326	pilotb0326	Neutral	4	Neutral Satiation Mismatch, 4	27	Pair 2 NEU.S.MM 4 (4, coffin)	592	Mismatch	/					Mismatch	C	25905							Satiated	Mismatch	Neutral (trial)	Neutral (trial)	Neutral	Neutral	Satiation (trial)	Mismatch (trial)
PilotB	pilotb0326	pilotb0326	Neutral	4	Neutral Satiation Match, 5	23	Target NEU.S.M 4 (5, dentist)	391							(any response)	NR	0							Satiated	Match	Neutral	Neutral	Neutral	Neutral	Satiation	Match
PilotB	pilotb0326	pilotb0326	Neutral	4	Neutral Satiation Match, 5	23	Pair 1 NEU.S.M 3 (5, victim)	397							(any response)	NR	0							Satiated	Match	Neutral (trial)	Neutral (trial)	Neutral	Neutral	Satiation (trial)	Match (trial)
PilotB	pilotb0326	pilotb0326	Neutral	4	Neutral Satiation Match, 5	23	Pair 2 NEU.S.M 3 (5, rude)	402	Mismatch	/					Match	E	26320							Satiated	Match	Neutral (trial)	Neutral (trial)	Neutral	Neutral	Satiation (trial)	Match (trial)
PilotB	pilotb0326	pilotb0326	Neutral	4	Neutral Prime Mismatch, 4	17	Target NEU.P.MM 3 (4, hard)	199							(any response)	NR	0							Primed	Mismatch	Neutral	Neutral	Neutral	Neutral	Prime	Mismatch
PilotB	pilotb0326	pilotb0326	Neutral	4	Neutral Prime Mismatch, 4	17	Pair 1 NEU.P.MM 2 (4, puppy)	205							(any response)	NR	0							Primed	Mismatch	Neutral (trial)	Neutral (trial)	Neutral	Neutral	Prime (trial)	Mismatch (trial)
