pilotb0926
Ryan Hildebrandt Thesis Study Final
09/26/2019	02:54:35 PM

Participant	Participant	Session	Block	Block	Trial	Trial	Event	Event	Cumulative	Participant			Pressed Or	X	Y	Correct	Error	Reaction	Reaction Time	Font Color	ISI Durations	Screen Location	Screen Location II	Repetitions
Group	Name	ID	Name	No.	Name	No.	Name	No.	Time	Response	Key	Key	Released	Position	Position	Response	Code	Time	(Trial Variable)	(Trial Variable)	(Trial Variable)	(Trial Variable)	(Trial Variable)	(Trial Variable)	Primed/Satiated	Match/Mismatch	Valence	Word Type	Pair Type	Block Valence	Trial Type	Word Pair Valence
PilotB	pilotb0926	pilotb0926	Practice	2	PRACTICE P, 2	3	Target PRACTICE 2 (2, book)	17	273667							(any response)	NR	0							Primed							
PilotB	pilotb0926	pilotb0926	Practice	2	PRACTICE P, 2	3	Pair 1 PRACTICE (2, evil)	21	274745							(any response)	NR	0							Primed							
PilotB	pilotb0926	pilotb0926	Practice	2	PRACTICE P, 2	3	Pair 2 PRACTICE (2, disaster)	24	277747							Match	NR	0							Primed							
PilotB	pilotb0926	pilotb0926	Practice	2	PRACTICE S, 2	6	Target PRACTICE31 (2, shirt)	144	301584							(any response)	NR	0							Satiated							
PilotB	pilotb0926	pilotb0926	Practice	2	PRACTICE S, 2	6	Pair 1 PRACTICE 1 (2, golfer)	148	302659							(any response)	NR	0							Satiated							
PilotB	pilotb0926	pilotb0926	Practice	2	PRACTICE S, 2	6	Pair 2 PRACTICE 1 (2, moose)	151	305660							Match	NR	0							Satiated							
PilotB	pilotb0926	pilotb0926	Practice	2	PRACTICE S, 3	7	Target PRACTICE31 (3, drag)	145	329495							(any response)	NR	0							Satiated							
PilotB	pilotb0926	pilotb0926	Practice	2	PRACTICE S, 3	7	Pair 1 PRACTICE 1 (3, attack)	149	330573							(any response)	NR	0							Satiated							
PilotB	pilotb0926	pilotb0926	Practice	2	PRACTICE S, 3	7	Pair 2 PRACTICE 1 (3, butter)	152	333097	Mismatch	/					Mismatch	C	2518							Satiated							
PilotB	pilotb0926	pilotb0926	Practice	2	PRACTICE S, 1	5	Target PRACTICE31 (1, bulbs)	143	356930							(any response)	NR	0							Satiated							
PilotB	pilotb0926	pilotb0926	Practice	2	PRACTICE S, 1	5	Pair 1 PRACTICE 1 (1, cake)	147	358004							(any response)	NR	0							Satiated							
PilotB	pilotb0926	pilotb0926	Practice	2	PRACTICE S, 1	5	Pair 2 PRACTICE 1 (1, overjoyed)	150	360222	Match	z					Match	C	2217							Satiated							
PilotB	pilotb0926	pilotb0926	Practice	2	PRACTICE P, 3	4	Target PRACTICE 2 (3, stork)	18	363337							(any response)	NR	0							Primed							
PilotB	pilotb0926	pilotb0926	Practice	2	PRACTICE P, 3	4	Pair 1 PRACTICE (3, drive)	22	364410							(any response)	NR	0							Primed							
PilotB	pilotb0926	pilotb0926	Practice	2	PRACTICE P, 3	4	Pair 2 PRACTICE (3, burger)	25	366500	Mismatch	/					Match	E	2089							Primed							
PilotB	pilotb0926	pilotb0926	Practice	2	PRACTICE P, 1	2	Target PRACTICE 2 (1, cheese)	16	369610							(any response)	NR	0							Primed							
PilotB	pilotb0926	pilotb0926	Practice	2	PRACTICE P, 1	2	Pair 1 PRACTICE (1, laugh)	20	370684							(any response)	NR	0							Primed							
PilotB	pilotb0926	pilotb0926	Practice	2	PRACTICE P, 1	2	Pair 2 PRACTICE (1, water)	23	372631	Mismatch	/					Match	E	1946							Primed							
PilotB	pilotb0926	pilotb0926	Start Screen 1	3	Start Screen	8	Start Screen	153	396280	Mismatch	/					Match; Mismatch	C	23621														
PilotB	pilotb0926	pilotb0926	Neutral	4	Neutral Prime Mismatch, 1	14	Target NEU.P.MM 3 (1, cliff)	196	399376							(any response)	NR	0							Primed	Mismatch	Neutral	Neutral	Neutral	Neutral	Prime	Mismatch
PilotB	pilotb0926	pilotb0926	Neutral	4	Neutral Prime Mismatch, 1	14	Pair 1 NEU.P.MM 2 (1, hopeful)	202	400450							(any response)	NR	0							Primed	Mismatch	Neutral (trial)	Neutral (trial)	Neutral	Neutral	Prime (trial)	Mismatch (trial)
PilotB	pilotb0926	pilotb0926	Neutral	4	Neutral Prime Mismatch, 1	14	Pair 2 NEU.P.MM 2 (1, selfish)	207	402209	Mismatch	/					Mismatch	C	1754							Primed	Mismatch	Neutral (trial)	Neutral (trial)	Neutral	Neutral	Prime (trial)	Mismatch (trial)
PilotB	pilotb0926	pilotb0926	Neutral	4	Neutral Satiation Match, 2	20	Target NEU.S.M 4 (2, rough)	388	426039							(any response)	NR	0							Satiated	Match	Neutral	Neutral	Neutral	Neutral	Satiation	Match
PilotB	pilotb0926	pilotb0926	Neutral	4	Neutral Satiation Match, 2	20	Pair 1 NEU.S.M 3 (2, kiss)	394	427112							(any response)	NR	0							Satiated	Match	Neutral (trial)	Neutral (trial)	Neutral	Neutral	Satiation (trial)	Match (trial)
PilotB	pilotb0926	pilotb0926	Neutral	4	Neutral Satiation Match, 2	20	Pair 2 NEU.S.M 3 (2, pride)	399	428513	Match	z					Match	C	1400							Satiated	Match	Neutral (trial)	Neutral (trial)	Neutral	Neutral	Satiation (trial)	Match (trial)
PilotB	pilotb0926	pilotb0926	Neutral	4	Neutral Prime Mismatch, 2	15	Target NEU.P.MM 3 (2, obscene)	197	431629							(any response)	NR	0							Primed	Mismatch	Neutral	Neutral	Neutral	Neutral	Prime	Mismatch
PilotB	pilotb0926	pilotb0926	Neutral	4	Neutral Prime Mismatch, 2	15	Pair 1 NEU.P.MM 2 (2, mystic)	203	432703							(any response)	NR	0							Primed	Mismatch	Neutral (trial)	Neutral (trial)	Neutral	Neutral	Prime (trial)	Mismatch (trial)
PilotB	pilotb0926	pilotb0926	Neutral	4	Neutral Prime Mismatch, 2	15	Pair 2 NEU.P.MM 2 (2, diamond)	208	434813	Mismatch	/					Mismatch	C	2105							Primed	Mismatch	Neutral (trial)	Neutral (trial)	Neutral	Neutral	Prime (trial)	Mismatch (trial)
PilotB	pilotb0926	pilotb0926	Neutral	4	Neutral Satiation Mismatch, 1	24	Target NEU.S.MM 5 (1, trumpet)	578	458636							(any response)	NR	0							Satiated	Mismatch	Neutral	Neutral	Neutral	Neutral	Satiation	Mismatch
PilotB	pilotb0926	pilotb0926	Neutral	4	Neutral Satiation Mismatch, 1	24	Pair 1 NEU.S.MM 4 (1, jail)	584	459716							(any response)	NR	0							Satiated	Mismatch	Neutral (trial)	Neutral (trial)	Neutral	Neutral	Satiation (trial)	Mismatch (trial)
PilotB	pilotb0926	pilotb0926	Neutral	4	Neutral Satiation Mismatch, 1	24	Pair 2 NEU.S.MM 4 (1, truck)	589	461207	Mismatch	/					Mismatch	C	1490							Satiated	Mismatch	Neutral (trial)	Neutral (trial)	Neutral	Neutral	Satiation (trial)	Mismatch (trial)
