pilotb1022
Ryan Hildebrandt Thesis Study Final
10/22/2019	09:50:15 AM

Participant	Participant	Session	Block	Block	Trial	Trial	Event	Event	Cumulative	Participant			Pressed Or	X	Y	Correct	Error	Reaction	Reaction Time	Font Color	ISI Durations	Screen Location	Screen Location II	Repetitions
Group	Name	ID	Name	No.	Name	No.	Name	No.	Time	Response	Key	Key	Released	Position	Position	Response	Code	Time	(Trial Variable)	(Trial Variable)	(Trial Variable)	(Trial Variable)	(Trial Variable)	(Trial Variable)	Primed/Satiated	Match/Mismatch	Valence	Word Type	Pair Type	Block Valence	Trial Type	Word Pair Valence
PilotB	pilotb1022	pilotb1022	Practice	2	PRACTICE P, 1	2	Target PRACTICE 2 (1, cheese)	16	518185							(any response)	NR	0							Primed							
PilotB	pilotb1022	pilotb1022	Practice	2	PRACTICE P, 1	2	Pair 1 PRACTICE (1, laugh)	20	519263							(any response)	NR	0							Primed							
PilotB	pilotb1022	pilotb1022	Practice	2	PRACTICE P, 1	2	Pair 2 PRACTICE (1, water)	23	522264							Match	NR	0							Primed							
PilotB	pilotb1022	pilotb1022	Practice	2	PRACTICE S, 1	5	Target PRACTICE31 (1, bulbs)	143	546099							(any response)	NR	0							Satiated							
PilotB	pilotb1022	pilotb1022	Practice	2	PRACTICE S, 1	5	Pair 1 PRACTICE 1 (1, cake)	147	547178							(any response)	NR	0							Satiated							
PilotB	pilotb1022	pilotb1022	Practice	2	PRACTICE S, 1	5	Pair 2 PRACTICE 1 (1, overjoyed)	150	548964	Match	z					Match	C	1786							Satiated							
PilotB	pilotb1022	pilotb1022	Practice	2	PRACTICE P, 2	3	Target PRACTICE 2 (2, book)	17	552073							(any response)	NR	0							Primed							
PilotB	pilotb1022	pilotb1022	Practice	2	PRACTICE P, 2	3	Pair 1 PRACTICE (2, evil)	21	553151							(any response)	NR	0							Primed							
PilotB	pilotb1022	pilotb1022	Practice	2	PRACTICE P, 2	3	Pair 2 PRACTICE (2, disaster)	24	554691	Mismatch	/					Match	E	1539							Primed							
PilotB	pilotb1022	pilotb1022	Practice	2	PRACTICE S, 2	6	Target PRACTICE31 (2, shirt)	144	578517							(any response)	NR	0							Satiated							
