timingtest2
Ryan Hildebrandt Thesis Study timing fixed version
04/09/2019	10:40:10 AM

Participant	Participant	Session	Block	Block	Trial	Trial	Event	Event	Cumulative	Participant			Pressed Or	X	Y	Correct	Error	Reaction	Reaction Time	Font Color	ISI Durations	Screen Location	Screen Location II	Repetitions
Group	Name	ID	Name	No.	Name	No.	Name	No.	Time	Response	Key	Key	Released	Position	Position	Response	Code	Time	(Trial Variable)	(Trial Variable)	(Trial Variable)	(Trial Variable)	(Trial Variable)	(Trial Variable)	Primed/Satiated	Match/Mismatch	Valence	Word Type	Pair Type	Block Valence	Trial Type	Word Pair Valence
PB	timingtest2	timingtest2	Practice	2	PRACTICE S, 2	6	Target PRACTICE31 (2, shirt)	144	26374							(any response)	NR	0							Satiated							
PB	timingtest2	timingtest2	Practice	2	PRACTICE S, 2	6	Pair 1 PRACTICE 1 (2, golfer)	148	27449							(any response)	NR	0							Satiated							
PB	timingtest2	timingtest2	Practice	2	PRACTICE S, 2	6	Pair 2 PRACTICE 1 (2, moose)	151	29456							Match	NR	0							Satiated							
PB	timingtest2	timingtest2	Practice	2	PRACTICE S, 1	5	Target PRACTICE31 (1, bulbs)	143	53287							(any response)	NR	0							Satiated							
PB	timingtest2	timingtest2	Practice	2	PRACTICE S, 1	5	Pair 1 PRACTICE 1 (1, cake)	147	54362							(any response)	NR	0							Satiated							
PB	timingtest2	timingtest2	Practice	2	PRACTICE S, 1	5	Pair 2 PRACTICE 1 (1, overjoyed)	150	56367							Match	NR	0							Satiated							
PB	timingtest2	timingtest2	Practice	2	PRACTICE P, 2	3	Target PRACTICE 2 (2, book)	17	59474							(any response)	NR	0							Primed							
PB	timingtest2	timingtest2	Practice	2	PRACTICE P, 2	3	Pair 1 PRACTICE (2, evil)	21	60553							(any response)	NR	0							Primed							
PB	timingtest2	timingtest2	Practice	2	PRACTICE P, 2	3	Pair 2 PRACTICE (2, disaster)	24	62558							Match	NR	0							Primed							
PB	timingtest2	timingtest2	Practice	2	PRACTICE P, 3	4	Target PRACTICE 2 (3, stork)	18	65664							(any response)	NR	0							Primed							
PB	timingtest2	timingtest2	Practice	2	PRACTICE P, 3	4	Pair 1 PRACTICE (3, drive)	22	66743							(any response)	NR	0							Primed							
PB	timingtest2	timingtest2	Practice	2	PRACTICE P, 3	4	Pair 2 PRACTICE (3, burger)	25	68745							Match	NR	0							Primed							
PB	timingtest2	timingtest2	Practice	2	PRACTICE S, 3	7	Target PRACTICE31 (3, drag)	145	92581							(any response)	NR	0							Satiated							
PB	timingtest2	timingtest2	Practice	2	PRACTICE S, 3	7	Pair 1 PRACTICE 1 (3, attack)	149	93656							(any response)	NR	0							Satiated							
PB	timingtest2	timingtest2	Practice	2	PRACTICE S, 3	7	Pair 2 PRACTICE 1 (3, butter)	152	95663							Mismatch	NR	0							Satiated							
PB	timingtest2	timingtest2	Practice	2	PRACTICE P, 1	2	Target PRACTICE 2 (1, cheese)	16	98772							(any response)	NR	0							Primed							
PB	timingtest2	timingtest2	Practice	2	PRACTICE P, 1	2	Pair 1 PRACTICE (1, laugh)	20	99846							(any response)	NR	0							Primed							
PB	timingtest2	timingtest2	Practice	2	PRACTICE P, 1	2	Pair 2 PRACTICE (1, water)	23	101848							Match	NR	0							Primed							
PB	timingtest2	timingtest2	Start Screen 1	3	Start Screen	8	Start Screen	153	167204	Mismatch	/					Match; Mismatch	C	65317														
PB	timingtest2	timingtest2	Neutral	4	Neutral Prime Match, 4	12	Target NEU.P.M 2 (4, vanity)	170	170297							(any response)	NR	0							Primed	Match	Neutral	Neutral	Neutral	Neutral	Prime	Match
PB	timingtest2	timingtest2	Neutral	4	Neutral Prime Match, 4	12	Pair 1 NEU.P.M 1 (4, alone)	176	171375							(any response)	NR	0							Primed	Match	Neutral (trial)	Neutral (trial)	Neutral	Neutral	Prime (trial)	Match (trial)
